NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,28/08/2019-09/02/2021,Sep 3 2020,fcdebedf3276096db2f51bf6372b849b5a9c75ed,    Merge pull request #1628 from ZacSweers/patch-1,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/fcdebedf3276096db2f51bf6372b849b5a9c75ed
1,28/08/2019-09/02/2021,Sep 3 2020,befdad6a48ede2e73c83323e81cb8d3d578fd69d,    Fix changelog typo,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/befdad6a48ede2e73c83323e81cb8d3d578fd69d
1,28/08/2019-09/02/2021,Aug 12 2020,6dd38718417e3b50b64ac0a880b6bf9f2f932124,    Prepare next development version,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/6dd38718417e3b50b64ac0a880b6bf9f2f932124
1,28/08/2019-09/02/2021,Aug 12 2020,888791b1c9943ade0823d295b3b7839ce5c0fe85,    Prepare version 10.2.3,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/888791b1c9943ade0823d295b3b7839ce5c0fe85
1,28/08/2019-09/02/2021,Aug 7 2020,442e6c23365426faa92c55c25a09309c4ad3dbf0,    Merge pull request #1623 from JakeWharton/jw/test/2020-08-07,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/442e6c23365426faa92c55c25a09309c4ad3dbf0
1,28/08/2019-09/02/2021,Aug 7 2020,8e6db6c7863b7ee6c9a82e7f5c0fe1ef2b19ed32,    Test OnTouch argument support,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/8e6db6c7863b7ee6c9a82e7f5c0fe1ef2b19ed32
1,28/08/2019-09/02/2021,Aug 3 2020,b6268e6c517f7c411783fb53b55f88e582877049,    Is stable,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/b6268e6c517f7c411783fb53b55f88e582877049
1,28/08/2019-09/02/2021,Aug 3 2020,c2b2870306621304175e800dd4b7eac32680dd06,    Prepare next development version,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/c2b2870306621304175e800dd4b7eac32680dd06
1,28/08/2019-09/02/2021,Aug 3 2020,4cb5a16ec91c0c9edb9a9c851bfb075f7a830480,s,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/4cb5a16ec91c0c9edb9a9c851bfb075f7a830480
1,28/08/2019-09/02/2021,Aug 3 2020,27232288409731720e46f198d1e388517f453d97,    Merge pull request #1620 from lonnyzhang423/master,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/27232288409731720e46f198d1e388517f453d97
