NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,31/01/2021-11/02/2021,Jan 31 2021,62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,    improved JSONReader performance,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/62787d9bfa0c7c674ebba69db5cdbeb85e9893d6
1,31/01/2021-11/02/2021,Jan 31 2021,1a4fb9bb29188ba8474a20868ff8eda6d9b48317,    improved JSONReader performance,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/1a4fb9bb29188ba8474a20868ff8eda6d9b48317
2,6/01/2021-31/01/2021,Jan 31 2021,a38362318bf1bd3bce7db2ada32b325d71bb21b8,    improved jsonpath support,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/a38362318bf1bd3bce7db2ada32b325d71bb21b8
2,6/01/2021-31/01/2021,Jan 6 2021,15ac107181ff88781a593e6f9e12ee357d6046d3,    Fix issue#3607,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/15ac107181ff88781a593e6f9e12ee357d6046d3
4,21/11/2020-30/12/2020,Dec 30 2020,2fa8ee07e55b476f778a63633f556bbf6b023ab7,    Fix issue#3601,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/2fa8ee07e55b476f778a63633f556bbf6b023ab7
5,14/11/2020-21/11/2020,Nov 21 2020,a7f1f5c4ac52503cc95bf1d27498098b3093a0df,    improved compatible,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/a7f1f5c4ac52503cc95bf1d27498098b3093a0df
6,5/11/2020-14/11/2020,Nov 5 2020,ab13b03d2168be6879cc56b9f1aa12605b140492,    improved JSONValidator,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/ab13b03d2168be6879cc56b9f1aa12605b140492
7,3/11/2020-5/11/2020,Nov 5 2020,37ed66bcaa3b0c88c5f3f0b09e6b4029c72c14cd,    1.2.76 init,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/37ed66bcaa3b0c88c5f3f0b09e6b4029c72c14cd
7,3/11/2020-5/11/2020,Nov 5 2020,af60554efbd7a0e36f3b646ee94162359655554f,    refactor,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/af60554efbd7a0e36f3b646ee94162359655554f
8,2/11/2020-3/11/2020,Nov 3 2020,1ccd0f19e72487545ba01078928b99aebc92505d,    Merge pull request #3474 from fanzhongwei/master,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/1ccd0f19e72487545ba01078928b99aebc92505d
8,2/11/2020-3/11/2020,Nov 2 2020,9b0fa44c260cfbfb3039493db41be6892aea3c00,    Merge pull request #3488 from alibaba/dependabot/maven/junit-junit-4.13.1,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/9b0fa44c260cfbfb3039493db41be6892aea3c00
8,2/11/2020-3/11/2020,Nov 2 2020,1f1371e655437855c0d7806b4ce8f304ad772db1,    fix testcase,completed: 384 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/1f1371e655437855c0d7806b4ce8f304ad772db1
8,2/11/2020-3/11/2020,Nov 2 2020,ac97d28f8bd3a46c9b864b0f56c529c8fae788bc,    Merge pull request #3501 from MengdiGao/fix-test-issue2428,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/ac97d28f8bd3a46c9b864b0f56c529c8fae788bc
8,2/11/2020-3/11/2020,Nov 2 2020,1e25425fb0edd1334cb9e991971075c383ef1ac8,    Merge pull request #3502 from MengdiGao/fix-test-ArrayListMultimap,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/1e25425fb0edd1334cb9e991971075c383ef1ac8
8,2/11/2020-3/11/2020,Nov 2 2020,8d94a61687408d722eb0458390838608ce7a7d99,    Merge pull request #3512 from ZhuXuanyi/patch-1,completed: 467 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/8d94a61687408d722eb0458390838608ce7a7d99
9,29/10/2020-2/11/2020,Nov 2 2020,07f1dd275b06d892726eb49f9a440b9b83eb72ba,    Merge pull request #3491 from blindarcheology/add-test-cause-issue3479,completed: 385 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/07f1dd275b06d892726eb49f9a440b9b83eb72ba
9,29/10/2020-2/11/2020,Nov 2 2020,40e4c4da4e670805a882b0135740a134475d0787,    Merge pull request #3500 from MengdiGao/fix-testcase-issue2447,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/40e4c4da4e670805a882b0135740a134475d0787
9,29/10/2020-2/11/2020,Nov 2 2020,e2ce6bb9233c2a050671962121e94a6a46a15bd5,    bug fixed for ref compute,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/e2ce6bb9233c2a050671962121e94a6a46a15bd5
9,29/10/2020-2/11/2020,Nov 2 2020,9384e2637b646b8170908175f25fe5b101f50cc9,    Merge pull request #3507 from limpidezza/fix-issue3493,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/9384e2637b646b8170908175f25fe5b101f50cc9
11,26/10/2020-27/10/2020,Oct 27 2020,9baa2d5dac6da26f895db316ef4a2425922642c4,    Fix issue 3493,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/9baa2d5dac6da26f895db316ef4a2425922642c4
11,26/10/2020-27/10/2020,Oct 26 2020,8124e5e8b9c077de6a3dc38b8d7f42b43f692b2b,    workaround fix reference bug,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/8124e5e8b9c077de6a3dc38b8d7f42b43f692b2b
11,26/10/2020-27/10/2020,Oct 26 2020,0ed7edfd25d4c81f86eca0375e457669b6cba1bb,    mixin support jsoncreator,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/0ed7edfd25d4c81f86eca0375e457669b6cba1bb
12,13/10/2020-26/10/2020,Oct 26 2020,063a3a1b60f14b36bc1ec792afbd184a89c89f0c,    update junit version,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/063a3a1b60f14b36bc1ec792afbd184a89c89f0c
12,13/10/2020-26/10/2020,Oct 22 2020,8d4ac65ee241fcf26e77f06ef82999b1b5f47c02,    code refactor,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/8d4ac65ee241fcf26e77f06ef82999b1b5f47c02
12,13/10/2020-26/10/2020,Oct 14 2020,037d32c77b325f992163bea23fa3e7d8849eb8df,    Added github actions to test the build,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/037d32c77b325f992163bea23fa3e7d8849eb8df
13,12/10/2020-13/10/2020,Oct 13 2020,4af4b1536d5385b3f37a0c4f467e6b05fb6cb859,    add test cauese for issue3479,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/4af4b1536d5385b3f37a0c4f467e6b05fb6cb859
13,12/10/2020-13/10/2020,Oct 12 2020,b9bce375c2361ac33240450c5d18f102d9ac5d4f,    fix flaky ArrayListMultimapTest,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/b9bce375c2361ac33240450c5d18f102d9ac5d4f
14,11/10/2020-12/10/2020,Oct 12 2020,d9ac924dc68ef332a9cf44e15df89e77451bcdff,    Bump junit from 4.12 to 4.13.1,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/d9ac924dc68ef332a9cf44e15df89e77451bcdff
14,11/10/2020-12/10/2020,Oct 12 2020,aa45d66b189bbd6c1c594b27f331ba119cb9cffa,    Fix flaky testcases for issue#2430,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/aa45d66b189bbd6c1c594b27f331ba119cb9cffa
14,11/10/2020-12/10/2020,Oct 12 2020,face67e357aef1f8534bcaa2836ed321aba60990,    Fix flaky testcase for issue#2428,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/face67e357aef1f8534bcaa2836ed321aba60990
14,11/10/2020-12/10/2020,Oct 12 2020,bbf9a14583704e9461eec160db8d16e3242e633f,    Fix flaky testcases for issue #2447,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/bbf9a14583704e9461eec160db8d16e3242e633f
14,11/10/2020-12/10/2020,Oct 11 2020,b98af7ade0a0dc6132274a47cf82d6b4aa48c1e0,    add testcase for #3436,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/b98af7ade0a0dc6132274a47cf82d6b4aa48c1e0
14,11/10/2020-12/10/2020,Oct 11 2020,f602a16f54f6fe4d34b6a5b5f5e7820517fb4cb3,    code refactor,completed: 468 skipped: 0 failures: 0 errors: 0,https://github.com/alibaba/fastjson/commit/f602a16f54f6fe4d34b6a5b5f5e7820517fb4cb3
