NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
5,3/12/2020-15/12/2020,Dec 15 2020,2b55799273247661132f999d66943c6adb6ccc35,    Internal change,completed: 1709745 skipped: 515 failures: 1 errors: 0,https://github.com/google/guava/commit/2b55799273247661132f999d66943c6adb6ccc35
9,10/11/2020-12/11/2020,Nov 12 2020,597b86c45e53c60b20ddba85c0f8c5fc8e278d19,    Backport ImmutableTable.combine,completed: 1709741 skipped: 515 failures: 1 errors: 0,https://github.com/google/guava/commit/597b86c45e53c60b20ddba85c0f8c5fc8e278d19
27,11/09/2020-16/09/2020,Sep 14 2020,1bfbca3bcb06c5cbe10a5cb6843d85b09c643e0e,    Bump checker-qual from 2.11.1 to 3.5.0.,completed: 853414 skipped: 0 failures: 0 errors: 0,https://github.com/google/guava/commit/1bfbca3bcb06c5cbe10a5cb6843d85b09c643e0e
28,9/09/2020-11/09/2020,Sep 11 2020,7fad458114db33674e5fd563f5688eba24e0612e,    Fix typos and remove unnecessary words.,completed: 853414 skipped: 0 failures: 0 errors: 0,https://github.com/google/guava/commit/7fad458114db33674e5fd563f5688eba24e0612e
32,3/08/2020-7/08/2020,Aug 7 2020,081c486173032e6096c912e3c297c1d74eddcf93,    [Efficiency] Modifies textToNumericFormatV4 to parse the input String in place.,completed: 1702366 skipped: 515 failures: 0 errors: 0,https://github.com/google/guava/commit/081c486173032e6096c912e3c297c1d74eddcf93
38,25/06/2020-10/07/2020,Jun 30 2020,e352076da65aa3afb5dc59cfd3c1f41574b5ebeb,    Fix Converter.java by moving @RetainedWith annotation to the correct side of the cycle.,completed: 1683598 skipped: 0 failures: 0 errors: 0,https://github.com/google/guava/commit/e352076da65aa3afb5dc59cfd3c1f41574b5ebeb
68,26/02/2020-27/02/2020,Feb 27 2020,b21d5719e6a0ce6f4e2f71eec09bf55908ede062,    Rename 'ConfigurableX' to 'StandardX' for Network  which better captures what these implementations represent.,completed: 1040355 skipped: 0 failures: 0 errors: 0,https://github.com/google/guava/commit/b21d5719e6a0ce6f4e2f71eec09bf55908ede062
129,3/04/2019-10/04/2019,Apr 10 2019,eacf08dbdc3d67a7c7a103f177a64dae5bb273af,    Simplify graph.PackageSanityTests by applying the new immutable graph builder.,completed: 1474413 skipped: 0 failures: 0 errors: 0,https://github.com/google/guava/commit/eacf08dbdc3d67a7c7a103f177a64dae5bb273af
178,25/04/2018-8/05/2018,May 8 2018,0a2258e6691a22aa7ff2604871b520d44bbac01f,    Use the type annotation version of @Nullable in the Java 8 branch,completed: 1699644 skipped: 0 failures: 1 errors: 0,https://github.com/google/guava/commit/0a2258e6691a22aa7ff2604871b520d44bbac01f
205,18/01/2018-22/01/2018,Jan 22 2018,41fa39fa7279c8fc94c7c3bb0367e2a5068d78c7,    Remove Graphs.equivalent() methods. Please use graphA.equals(graphB) or Objects.equals(graphA graphB) instead.,completed: 1692605 skipped: 0 failures: 1 errors: 8,https://github.com/google/guava/commit/41fa39fa7279c8fc94c7c3bb0367e2a5068d78c7
216,19/12/2017-20/12/2017,Dec 19 2017,ccc239f85a4a0b3620148c54df1c55cb2db71d53,    Start some simple improvements to multimaps in code size and allocation count.,completed: 1561231 skipped: 0 failures: 2 errors: 0,https://github.com/google/guava/commit/ccc239f85a4a0b3620148c54df1c55cb2db71d53
