NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
4,19/01/2021-25/01/2021,Jan 19 2021,af297c444dd54af6b335275dac2149bc514acc8e,    3.x: Schedulers.from vs. RejectedExecutionException (#7150),completed: 12971 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/af297c444dd54af6b335275dac2149bc514acc8e
5,10/12/2020-19/01/2021,Jan 19 2021,af297c444dd54af6b335275dac2149bc514acc8e,    3.x: Schedulers.from vs. RejectedExecutionException (#7150),completed: 12971 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/af297c444dd54af6b335275dac2149bc514acc8e
5,10/12/2020-19/01/2021,Jan 18 2021,e3a0302161155090b637a13d9bbce1fc6dd638fe,    Bump mockito-core from 3.7.0 to 3.7.7 (#7152),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/e3a0302161155090b637a13d9bbce1fc6dd638fe
5,10/12/2020-19/01/2021,Jan 8 2021,a55f43e9f3d82091cb0266179afead151361b00d,    3.x: Update marbles of amb(), ambArray() and ambWith() (#7144),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/a55f43e9f3d82091cb0266179afead151361b00d
5,10/12/2020-19/01/2021,Dec 30 2020,ad50bcda192a2e73ad1fc3532ac27362d50dc898,    Bump build-info-extractor-gradle from 4.18.2 to 4.18.3 (#7140),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/ad50bcda192a2e73ad1fc3532ac27362d50dc898
5,10/12/2020-19/01/2021,Dec 14 2020,17ba82c4ab9f9d4cc66f8dfd90b6930d1ac9aaeb,    adding 1.x 2.x 3.x javadoc to wiki sidebar (#7133),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/17ba82c4ab9f9d4cc66f8dfd90b6930d1ac9aaeb
6,9/12/2020-10/12/2020,Dec 10 2020,dde2c0e7b0435b4195d02699ef4c8f8d666480e2,    Fix code style,completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/dde2c0e7b0435b4195d02699ef4c8f8d666480e2
9,20/11/2020-6/12/2020,Dec 2 2020,20fc2ba5a0c793796bca7416fdcc90da629a5b10,    Limit to released event types,completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/20fc2ba5a0c793796bca7416fdcc90da629a5b10
9,20/11/2020-6/12/2020,Nov 30 2020,bfd242da5de53bd16f8c7d52c83e0968010bba2c,    3.x: Remove unnecessary cancel/dispose calls from terminating using (#7121),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/bfd242da5de53bd16f8c7d52c83e0968010bba2c
9,20/11/2020-6/12/2020,Nov 25 2020,3d5feceb3b103062eaea2a4e22d64dbd926f5769,    Bump mockito-core from 3.6.0 to 3.6.28 (#7116),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/3d5feceb3b103062eaea2a4e22d64dbd926f5769
9,20/11/2020-6/12/2020,Nov 20 2020,e4ad465fa663f0d80a9017d9149f8e6093e818a0,    Fix push_javadoc.sh,completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/e4ad465fa663f0d80a9017d9149f8e6093e818a0
10,5/10/2020-20/11/2020,Nov 20 2020,3d1669da006bd494f7fce7f3b3d6274fa5ba6921,    3.x: Update badge in README.md (#7115),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/3d1669da006bd494f7fce7f3b3d6274fa5ba6921
10,5/10/2020-20/11/2020,Nov 20 2020,c816e6f5f4dfd18743ee6ff1ad7e42c9beb2cf01,    3.x Switch from Travis CI to GitHub Actions (#7114),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/c816e6f5f4dfd18743ee6ff1ad7e42c9beb2cf01
10,5/10/2020-20/11/2020,Nov 12 2020,78b29f7967cd7589c3e53a4a8a73ad2aadb30eff,    3.x: Flowable scan/scanWith backpressure documentation update (#7110),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/78b29f7967cd7589c3e53a4a8a73ad2aadb30eff
10,5/10/2020-20/11/2020,Oct 30 2020,ca3a21ae2e79ead471def5dd4c4211ff4fbe1298,    Switch to travis-ci.com as the org goes away (#7104),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/ca3a21ae2e79ead471def5dd4c4211ff4fbe1298
10,5/10/2020-20/11/2020,Oct 19 2020,8511da4e0130d67a7b2ae369349868004e153262,    Bump guava from 29.0-jre to 30.0-jre (#7098),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/8511da4e0130d67a7b2ae369349868004e153262
10,5/10/2020-20/11/2020,Oct 12 2020,4394f5016fcd7b37049ea727dca91755054d090a,    Bump junit from 4.13 to 4.13.1 (#7094),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/4394f5016fcd7b37049ea727dca91755054d090a
10,5/10/2020-20/11/2020,Oct 6 2020,82a218a5e0bb7f8788e4e6b0b54e4de9cd28e9ea,    Clarify the documentation for scan operators (#7093),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/82a218a5e0bb7f8788e4e6b0b54e4de9cd28e9ea
11,23/09/2020-5/10/2020,Oct 5 2020,35702ec5e64e8adc2ce6f9828f9af8f5fde42bbc,    Bump jmh-gradle-plugin from 0.5.1 to 0.5.2 (#7082),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/35702ec5e64e8adc2ce6f9828f9af8f5fde42bbc
11,23/09/2020-5/10/2020,Sep 25 2020,88697a4fa769aa4a81ba5ed14b3be6dad93441ed,    Bump mockito-core from 3.5.11 to 3.5.13 (#7086),completed: 12930 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/88697a4fa769aa4a81ba5ed14b3be6dad93441ed
12,6/08/2020-23/09/2020,Sep 18 2020,6b48855b1fdcefeca9ed9e0c112140c23bd42f6e,    Bump mockito-core from 3.5.10 to 3.5.11 (#7077),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/6b48855b1fdcefeca9ed9e0c112140c23bd42f6e
12,6/08/2020-23/09/2020,Sep 12 2020,0f21ba82666e65a54e980638cfb8a0ffe3dfe506,    3.x: fromRunnable/fromAction javadoc improvements (#7071),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/0f21ba82666e65a54e980638cfb8a0ffe3dfe506
12,6/08/2020-23/09/2020,Sep 2 2020,1ff3cd62091db049b39a2eda0443240e75d6c321,    Bump mockito-core from 3.5.7 to 3.5.9 (#7069),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/1ff3cd62091db049b39a2eda0443240e75d6c321
