INSERTION,DELETION,SUM,SUBTRACT,"INSERTION,DELETION,SUM,SUBTRACT",,,
1,1,2,0,"1,1,2,0",,insertion median: ,3
1,1,2,0,"1,1,2,0",,deletion median:,2
1,1,2,0,"1,1,2,0",,insetion min:,0
8,0,8,8,"8,0,8,8",,deletion min:,0
3,3,6,0,"3,3,6,0",,insetion max:,387
1,1,2,0,"1,1,2,0",,deletion max:,436
35,0,35,35,"35,0,35,35",,Total changes:,408
35,0,35,35,"35,0,35,35",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
8,0,8,8,"8,0,8,8",,,
3,3,6,0,"3,3,6,0",,,
1,1,2,0,"1,1,2,0",,,
86,61,147,25,"86,61,147,25",,,
9,25,34,-16,"9,25,34,-16",,,
11,3,14,8,"11,3,14,8",,,
86,61,147,25,"86,61,147,25",,,
9,25,34,-16,"9,25,34,-16",,,
11,3,14,8,"11,3,14,8",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
2,0,2,2,"2,0,2,2",,,IGNORE OUTLIERS ABOVE 50
2,0,2,2,"2,0,2,2",,,
4,2,6,2,"4,2,6,2",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
10,0,10,10,"10,0,10,10",,,
10,0,10,10,"10,0,10,10",,,
1,1,2,0,"1,1,2,0",,,
12,0,12,12,"12,0,12,12",,,
3,3,6,0,"3,3,6,0",,,
1,1,2,0,"1,1,2,0",,,
9,0,9,9,"9,0,9,9",,,
3,2,5,1,"3,2,5,1",,,
4,2,6,2,"4,2,6,2",,,
6,6,12,0,"6,6,12,0",,,
4,1,5,3,"4,1,5,3",,,
16,16,32,0,"16,16,32,0",,,
49,93,142,-44,"49,93,142,-44",,,
9,0,9,9,"9,0,9,9",,,
3,2,5,1,"3,2,5,1",,,
4,2,6,2,"4,2,6,2",,,
6,6,12,0,"6,6,12,0",,,
4,1,5,3,"4,1,5,3",,,
16,16,32,0,"16,16,32,0",,,
49,93,142,-44,"49,93,142,-44",,,
24,1,25,23,"24,1,25,23",,,
1,1,2,0,"1,1,2,0",,,
3,2,5,1,"3,2,5,1",,,
2,1,3,1,"2,1,3,1",,,
1,1,2,0,"1,1,2,0",,,
24,1,25,23,"24,1,25,23",,,
1,1,2,0,"1,1,2,0",,,
3,2,5,1,"3,2,5,1",,,
2,1,3,1,"2,1,3,1",,,
1,1,2,0,"1,1,2,0",,,
5,0,5,5,"5,0,5,5",,,
2,0,2,2,"2,0,2,2",,,
3,0,3,3,"3,0,3,3",,,
3,0,3,3,"3,0,3,3",,,
1,1,2,0,"1,1,2,0",,,
9,0,9,9,"9,0,9,9",,,
3,3,6,0,"3,3,6,0",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
5,5,10,0,"5,5,10,0",,,
1,1,2,0,"1,1,2,0",,,
5,5,10,0,"5,5,10,0",,,
5,0,5,5,"5,0,5,5",,,
3,0,3,3,"3,0,3,3",,,
19,10,29,9,"19,10,29,9",,,
21,1,22,20,"21,1,22,20",,,
5,0,5,5,"5,0,5,5",,,
3,0,3,3,"3,0,3,3",,,
19,10,29,9,"19,10,29,9",,,
21,1,22,20,"21,1,22,20",,,
47,11,58,36,"47,11,58,36",,,
86,11,97,75,"86,11,97,75",,,
258,0,258,258,"258,0,258,258",,,
2,2,4,0,"2,2,4,0",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
9,0,9,9,"9,0,9,9",,,
4,8,12,-4,"4,8,12,-4",,,
10,1,11,9,"10,1,11,9",,,
9,0,9,9,"9,0,9,9",,,
1,1,2,0,"1,1,2,0",,,
1,1,2,0,"1,1,2,0",,,
265,0,265,265,"265,0,265,265",,,
267,0,267,267,"267,0,267,267",,,
264,0,264,264,"264,0,264,264",,,
267,0,267,267,"267,0,267,267",,,
265,0,265,265,"265,0,265,265",,,
264,0,264,264,"264,0,264,264",,,
387,0,387,387,"387,0,387,387",,,
387,0,387,387,"387,0,387,387",,,
1,1,2,0,"1,1,2,0",,,
12,0,12,12,"12,0,12,12",,,
3,3,6,0,"3,3,6,0",,,
1,1,2,0,"1,1,2,0",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
2,3,5,-1,"2,3,5,-1",,,
238,0,238,238,"238,0,238,238",,,
14,7,21,7,"14,7,21,7",,,
14,7,21,7,"14,7,21,7",,,
0,36,36,-36,"0,36,36,-36",,,
52,0,52,52,"52,0,52,52",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
1,2,3,-1,"1,2,3,-1",,,
0,65,65,-65,"0,65,65,-65",,,
93,0,93,93,"93,0,93,93",,,
29,0,29,29,"29,0,29,29",,,
54,0,54,54,"54,0,54,54",,,
