INSERTION,DELETION,SUM,SUBTRACT,"INSERTION,DELETION,SUM,SUBTRACT",,
0,2,2,-2,"0,2,2,-2",insertion median: ,3
0,4,4,-4,"0,4,4,-4",deletion median:,1
4,1,5,3,"4,1,5,3",insetion min:,0
0,5,5,-5,"0,5,5,-5",deletion min:,0
24,10,34,14,"24,10,34,14",insetion max:,4221
3,0,3,3,"3,0,3,3",deletion max:,2436
24,4,28,20,"24,4,28,20",Total changes:,8161
4,1,5,3,"4,1,5,3",,
1,1,2,0,"1,1,2,0",,
4,12,16,-8,"4,12,16,-8",,
13,1,14,12,"13,1,14,12",,
91,22,113,69,"91,22,113,69",,
5,0,5,5,"5,0,5,5",,
4,0,4,4,"4,0,4,4",,
61,2,63,59,"61,2,63,59",,
196,22,218,174,"196,22,218,174",,
39,7,46,32,"39,7,46,32",,
71,24,95,47,"71,24,95,47",,
1,1,2,0,"1,1,2,0",,
1,2,3,-1,"1,2,3,-1",,
11,5,16,6,"11,5,16,6",,
9,2,11,7,"9,2,11,7",,
0,1,1,-1,"0,1,1,-1",,
4,1,5,3,"4,1,5,3",,
5,0,5,5,"5,0,5,5",,
14,0,14,14,"14,0,14,14",,
208,172,380,36,"208,172,380,36",,
53,6,59,47,"53,6,59,47",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
124,123,247,1,"124,123,247,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
5,0,5,5,"5,0,5,5",,
78,0,78,78,"78,0,78,78",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
11,12,23,-1,"11,12,23,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
34,10,44,24,"34,10,44,24",,
47,0,47,47,"47,0,47,47",,
53,6,59,47,"53,6,59,47",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
52,5,57,47,"52,5,57,47",,
