NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,1/12/2020-09/02/2021,Dec 1 2020,e464e01e0511e96ce78d4049e4110b79da8f5876,    Improve VideoDecoder error messages in Glide.,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/e464e01e0511e96ce78d4049e4110b79da8f5876
2,16/11/2020-1/12/2020,Dec 1 2020,e464e01e0511e96ce78d4049e4110b79da8f5876,    Improve VideoDecoder error messages in Glide.,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/e464e01e0511e96ce78d4049e4110b79da8f5876
2,16/11/2020-1/12/2020,Nov 24 2020,b8570b177a7ae0619fe8300da6efb89c0b56735e,    Merge pull request #4418 from sjudd:github_actions,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/b8570b177a7ae0619fe8300da6efb89c0b56735e
2,16/11/2020-1/12/2020,Nov 18 2020,d1aacb5e116a94f70b7f5e4531ece93ab08a4cd4,    Add shortcut for starting an identical error request with a different model.,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/d1aacb5e116a94f70b7f5e4531ece93ab08a4cd4
3,12/11/2020-16/11/2020,Nov 16 2020,b451065702ff452349f3f08deb2f937fb3a83ab5,    Reset frame state after UI_HIDDEN and minor cleanup.,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/b451065702ff452349f3f08deb2f937fb3a83ab5
4,19/10/2020-12/11/2020,Nov 12 2020,cbe5877ddb24a32dccd475f25386f6ef6eed6b4c,    Add more extensive equals testing to KeyTester,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/cbe5877ddb24a32dccd475f25386f6ef6eed6b4c
4,19/10/2020-12/11/2020,Oct 27 2020,f007af2d687b89a61cb5fdc6be1b10f21c97355b,    Change default search to "airplanes" in Flickr's commons project.,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/f007af2d687b89a61cb5fdc6be1b10f21c97355b
4,19/10/2020-12/11/2020,Oct 19 2020,ddb3934a3d1f43dd184b3b9534a8e621fabff713,    Update low FD count hardcoded hardware Bitmap blacklist.,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/ddb3934a3d1f43dd184b3b9534a8e621fabff713
4,19/10/2020-12/11/2020,Oct 19 2020,7d7042c4f14d0f825f49183cd840ea22525bdf14,    Avoid using frame waiting on Q+,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/7d7042c4f14d0f825f49183cd840ea22525bdf14
5,16/10/2020-19/10/2020,Oct 19 2020,ddb3934a3d1f43dd184b3b9534a8e621fabff713,    Update low FD count hardcoded hardware Bitmap blacklist.,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/ddb3934a3d1f43dd184b3b9534a8e621fabff713
