NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
7,0d551f1a493710b92791b82bd915238310c6ed4e,"INCREASING_ACCESSIBILITY_CHANGE","MODIFIER: public","MODIFIERS: ","org.greenrobot.eventbus.Logger.SystemOutLogger","MEDIUM"
7,0d551f1a493710b92791b82bd915238310c6ed4e,"REMOVED_CLASS","CLASS: org.greenrobot.eventbus.Logger.Default","CLASS: org.greenrobot.eventbus.Logger","org.greenrobot.eventbus.Logger","HIGH"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: final CheckBox checkBoxEventBus = findViewById(R.id.checkBoxEventBus);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.initTestClasses(int)","org.greenrobot.eventbusperf.TestSetupActivity.initTestClasses(int)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: final CheckBox checkBoxOtto = findViewById(R.id.checkBoxOtto);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.initTestClasses(int)","org.greenrobot.eventbusperf.TestSetupActivity.initTestClasses(int)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: final CheckBox checkBoxBroadcast = findViewById(R.id.checkBoxBroadcast);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.initTestClasses(int)","org.greenrobot.eventbusperf.TestSetupActivity.initTestClasses(int)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: final CheckBox checkBoxLocalBroadcast = findViewById(R.id.checkBoxLocalBroadcast);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.initTestClasses(int)","org.greenrobot.eventbusperf.TestSetupActivity.initTestClasses(int)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: Spinner spinnerRun = findViewById(R.id.spinnerTestToRun);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.onCreate(Bundle)","org.greenrobot.eventbusperf.TestSetupActivity.onCreate(Bundle)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: Spinner spinnerThread = findViewById(R.id.spinnerThread);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.checkEventBus(View)","org.greenrobot.eventbusperf.TestSetupActivity.checkEventBus(View)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: CheckBox checkBoxEventBus = findViewById(R.id.checkBoxEventBus);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.checkEventBus(View)","org.greenrobot.eventbusperf.TestSetupActivity.checkEventBus(View)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: Spinner spinnerThread = findViewById(R.id.spinnerThread);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.startClick(View)","org.greenrobot.eventbusperf.TestSetupActivity.startClick(View)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: EditText editTextEvent = findViewById(R.id.editTextEvent);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.startClick(View)","org.greenrobot.eventbusperf.TestSetupActivity.startClick(View)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: EditText editTextSubscriber = findViewById(R.id.editTextSubscribe);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.startClick(View)","org.greenrobot.eventbusperf.TestSetupActivity.startClick(View)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: Spinner spinnerTestToRun = findViewById(R.id.spinnerTestToRun);","METHOD: org.greenrobot.eventbusperf.TestSetupActivity.startClick(View)","org.greenrobot.eventbusperf.TestSetupActivity.startClick(View)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_UPDATE","ASSIGNMENT: textViewResult = findViewById(R.id.textViewResult);","METHOD: org.greenrobot.eventbusperf.TestRunnerActivity.onCreate(Bundle)","org.greenrobot.eventbusperf.TestRunnerActivity.onCreate(Bundle)","LOW"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_DELETE","SWITCH_CASE: MAIN_ORDERED","SWITCH_STATEMENT: params.getThreadMode()","org.greenrobot.eventbusperf.testsubject.PerfTestEventBus.getSubscriberClassForThreadMode()","MEDIUM"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"STATEMENT_DELETE","RETURN_STATEMENT: SubscribeClassEventBusMainOrdered.class;","SWITCH_STATEMENT: params.getThreadMode()","org.greenrobot.eventbusperf.testsubject.PerfTestEventBus.getSubscriberClassForThreadMode()","MEDIUM"
30,0e32fcea992a0a1159033d0c3bbaf160707756c3,"REMOVED_CLASS","CLASS: org.greenrobot.eventbusperf.testsubject.PerfTestEventBus.SubscribeClassEventBusMainOrdered","CLASS: org.greenrobot.eventbusperf.testsubject.PerfTestEventBus","org.greenrobot.eventbusperf.testsubject.PerfTestEventBus","CRUCIAL"
35,bbe35ff77d736e4a38072ddc3659b122c46367c1,"ADDITIONAL_CLASS","CLASS: org.greenrobot.eventbus.Logger.AndroidLogger","CLASS: org.greenrobot.eventbus.Logger","org.greenrobot.eventbus.Logger","LOW"
47,618a4f17f13751539c0879ca79d7f534631fdd99,"STATEMENT_DELETE","VARIABLE_DECLARATION_STATEMENT: TestBackgroundPoster backgroundPoster = new TestBackgroundPoster(eventBus);","METHOD: org.greenrobot.eventbus.EventBusMainThreadTest.testPostInBackgroundThread()","org.greenrobot.eventbus.EventBusMainThreadTest.testPostInBackgroundThread()","MEDIUM"
47,618a4f17f13751539c0879ca79d7f534631fdd99,"STATEMENT_DELETE","METHOD_INVOCATION: backgroundPoster.start();","METHOD: org.greenrobot.eventbus.EventBusMainThreadTest.testPostInBackgroundThread()","org.greenrobot.eventbus.EventBusMainThreadTest.testPostInBackgroundThread()","MEDIUM"
47,618a4f17f13751539c0879ca79d7f534631fdd99,"STATEMENT_DELETE","METHOD_INVOCATION: backgroundPoster.shutdown();","METHOD: org.greenrobot.eventbus.EventBusMainThreadTest.testPostInBackgroundThread()","org.greenrobot.eventbus.EventBusMainThreadTest.testPostInBackgroundThread()","MEDIUM"
47,618a4f17f13751539c0879ca79d7f534631fdd99,"STATEMENT_DELETE","METHOD_INVOCATION: backgroundPoster.join();","METHOD: org.greenrobot.eventbus.EventBusMainThreadTest.testPostInBackgroundThread()","org.greenrobot.eventbus.EventBusMainThreadTest.testPostInBackgroundThread()","MEDIUM"
47,618a4f17f13751539c0879ca79d7f534631fdd99,"ADDITIONAL_FUNCTIONALITY","METHOD: org.greenrobot.eventbus.EventBusMainThreadTest.tearDown()","CLASS: org.greenrobot.eventbus.EventBusMainThreadTest","org.greenrobot.eventbus.EventBusMainThreadTest","LOW"
47,618a4f17f13751539c0879ca79d7f534631fdd99,"ADDITIONAL_FUNCTIONALITY","METHOD: org.greenrobot.eventbus.EventBusMainThreadTest.setUp()","CLASS: org.greenrobot.eventbus.EventBusMainThreadTest","org.greenrobot.eventbus.EventBusMainThreadTest","LOW"
47,618a4f17f13751539c0879ca79d7f534631fdd99,"ADDITIONAL_OBJECT_STATE","FIELD: org.greenrobot.eventbus.EventBusMainThreadTest.backgroundPoster : TestBackgroundPoster","CLASS: org.greenrobot.eventbus.EventBusMainThreadTest","org.greenrobot.eventbus.EventBusMainThreadTest","LOW"
48,dfc6198136a5de39e8f59744a45e8353812ef13c,"STATEMENT_UPDATE","ASSIGNMENT: backgroundPoster = new TestBackgroundPoster(eventBus);","METHOD: org.greenrobot.eventbus.EventBusMainThreadTest.setUp()","org.greenrobot.eventbus.EventBusMainThreadTest.setUp()","LOW"
48,dfc6198136a5de39e8f59744a45e8353812ef13c,"ATTRIBUTE_TYPE_CHANGE","SINGLE_TYPE: TestBackgroundPoster","FIELD: org.greenrobot.eventbus.EventBusMainThreadTest.backgroundPoster : TestBackgroundPoster","org.greenrobot.eventbus.EventBusMainThreadTest.backgroundPoster : BackgroundPoster","HIGH"
48,dfc6198136a5de39e8f59744a45e8353812ef13c,"ADDITIONAL_CLASS","CLASS: org.greenrobot.eventbus.EventBusMainThreadTest.BackgroundPoster","CLASS: org.greenrobot.eventbus.EventBusMainThreadTest","org.greenrobot.eventbus.EventBusMainThreadTest","LOW"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"STATEMENT_INSERT","VARIABLE_DECLARATION_STATEMENT: SubscriberExtendedWithoutNewSubscriberMethod subscriber = new SubscriberExtendedWithoutNewSubscriberMethod();","METHOD: org.greenrobot.eventbus.EventBusInheritanceTest.testSubscriberClassHierarchyWithoutNewSubscriberMethod()","org.greenrobot.eventbus.EventBusInheritanceTest.testSubscriberClassHierarchyWithoutNewSubscriberMethod()","LOW"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"STATEMENT_DELETE","VARIABLE_DECLARATION_STATEMENT: EventBusInheritanceSubclassNoMethodTest subscriber = new EventBusInheritanceSubclassNoMethodTest();","METHOD: org.greenrobot.eventbus.EventBusInheritanceTest.testSubscriberClassHierarchyWithoutNewSubscriberMethod()","org.greenrobot.eventbus.EventBusInheritanceTest.testSubscriberClassHierarchyWithoutNewSubscriberMethod()","MEDIUM"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"STATEMENT_INSERT","VARIABLE_DECLARATION_STATEMENT: SubscriberExtended subscriber = new SubscriberExtended();","METHOD: org.greenrobot.eventbus.EventBusInheritanceTest.testSubscriberClassHierarchy()","org.greenrobot.eventbus.EventBusInheritanceTest.testSubscriberClassHierarchy()","LOW"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"STATEMENT_DELETE","VARIABLE_DECLARATION_STATEMENT: EventBusInheritanceSubclassTest subscriber = new EventBusInheritanceSubclassTest();","METHOD: org.greenrobot.eventbus.EventBusInheritanceTest.testSubscriberClassHierarchy()","org.greenrobot.eventbus.EventBusInheritanceTest.testSubscriberClassHierarchy()","MEDIUM"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"ADDITIONAL_CLASS","CLASS: org.greenrobot.eventbus.EventBusInheritanceTest.SubscriberExtendedWithoutNewSubscriberMethod","CLASS: org.greenrobot.eventbus.EventBusInheritanceTest","org.greenrobot.eventbus.EventBusInheritanceTest","LOW"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"ADDITIONAL_CLASS","CLASS: org.greenrobot.eventbus.EventBusInheritanceTest.SubscriberExtended","CLASS: org.greenrobot.eventbus.EventBusInheritanceTest","org.greenrobot.eventbus.EventBusInheritanceTest","LOW"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"STATEMENT_INSERT","VARIABLE_DECLARATION_STATEMENT: SubscriberExtendedWithoutNewSubscriberMethod subscriber = new SubscriberExtendedWithoutNewSubscriberMethod();","METHOD: org.greenrobot.eventbus.EventBusInheritanceDisabledTest.testSubscriberClassHierarchyWithoutNewSubscriberMethod()","org.greenrobot.eventbus.EventBusInheritanceDisabledTest.testSubscriberClassHierarchyWithoutNewSubscriberMethod()","LOW"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"STATEMENT_DELETE","VARIABLE_DECLARATION_STATEMENT: EventBusInheritanceDisabledSubclassNoMethod subscriber = new EventBusInheritanceDisabledSubclassNoMethod();","METHOD: org.greenrobot.eventbus.EventBusInheritanceDisabledTest.testSubscriberClassHierarchyWithoutNewSubscriberMethod()","org.greenrobot.eventbus.EventBusInheritanceDisabledTest.testSubscriberClassHierarchyWithoutNewSubscriberMethod()","MEDIUM"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"STATEMENT_INSERT","VARIABLE_DECLARATION_STATEMENT: SubscriberExtended subscriber = new SubscriberExtended();","METHOD: org.greenrobot.eventbus.EventBusInheritanceDisabledTest.testSubscriberClassHierarchy()","org.greenrobot.eventbus.EventBusInheritanceDisabledTest.testSubscriberClassHierarchy()","LOW"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"STATEMENT_DELETE","VARIABLE_DECLARATION_STATEMENT: EventBusInheritanceDisabledSubclassTest subscriber = new EventBusInheritanceDisabledSubclassTest();","METHOD: org.greenrobot.eventbus.EventBusInheritanceDisabledTest.testSubscriberClassHierarchy()","org.greenrobot.eventbus.EventBusInheritanceDisabledTest.testSubscriberClassHierarchy()","MEDIUM"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"ADDITIONAL_CLASS","CLASS: org.greenrobot.eventbus.EventBusInheritanceDisabledTest.SubscriberExtendedWithoutNewSubscriberMethod","CLASS: org.greenrobot.eventbus.EventBusInheritanceDisabledTest","org.greenrobot.eventbus.EventBusInheritanceDisabledTest","LOW"
49,b1a0581199238f3162bebeb4869a524c0397cc32,"ADDITIONAL_CLASS","CLASS: org.greenrobot.eventbus.EventBusInheritanceDisabledTest.SubscriberExtended","CLASS: org.greenrobot.eventbus.EventBusInheritanceDisabledTest","org.greenrobot.eventbus.EventBusInheritanceDisabledTest","LOW"
50,8a192b4c8d04b6c2d48bf2a03a5dfa81a36cbdc2,"DOC_INSERT","JAVADOC: /**
 * @author Markus Junginger, greenrobot
 */","CLASS: org.greenrobot.eventbus.EventBusMultithreadedTest","org.greenrobot.eventbus.EventBusMultithreadedTest","NONE"
50,8a192b4c8d04b6c2d48bf2a03a5dfa81a36cbdc2,"PARENT_CLASS_CHANGE","SINGLE_TYPE: AbstractEventBusTest","CLASS: org.greenrobot.eventbus.EventBusMultithreadedTest","org.greenrobot.eventbus.EventBusMultithreadedTest","CRUCIAL"
50,8a192b4c8d04b6c2d48bf2a03a5dfa81a36cbdc2,"DECREASING_ACCESSIBILITY_CHANGE","MODIFIER: private","MODIFIERS: ","org.greenrobot.eventbus.EventBusMultithreadedTest.lastStringEvent : String","HIGH"
50,8a192b4c8d04b6c2d48bf2a03a5dfa81a36cbdc2,"DECREASING_ACCESSIBILITY_CHANGE","MODIFIER: private","MODIFIERS: ","org.greenrobot.eventbus.EventBusMultithreadedTest.COUNT : int","HIGH"
