NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL,,,,
6,8e6db6c7863b7ee6c9a82e7f5c0fe1ef2b19ed32,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnTouchTest.arguments(),CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,CRUCIAL,,,,
6,8e6db6c7863b7ee6c9a82e7f5c0fe1ef2b19ed32,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnTouchTest.Arguments,CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,HIGH,,,,
6,8e6db6c7863b7ee6c9a82e7f5c0fe1ef2b19ed32,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnTouchTest.arguments(),CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,CRUCIAL,,,,
6,8e6db6c7863b7ee6c9a82e7f5c0fe1ef2b19ed32,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnTouchTest.Arguments,CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,HIGH,,,,
47,c0e6fa3858c226443618f87e2dded9a5d2205345,STATEMENT_DELETE,"METHOD_INVOCATION: assertThat(listFilteringNull(One"""," ""Two"""," ""Three"")).containsExactly(""One"""," ""Two"""," ""Three"");""",METHOD: butterknife.UtilsTest.listOfFiltersNull(),butterknife.UtilsTest.listOfFiltersNull(),MEDIUM
47,c0e6fa3858c226443618f87e2dded9a5d2205345,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.UtilsTest.arrayOfFiltersNull(),CLASS: butterknife.UtilsTest,butterknife.UtilsTest,LOW,,,,
47,c0e6fa3858c226443618f87e2dded9a5d2205345,REMOVED_FUNCTIONALITY,METHOD: butterknife.UtilsTest.arrayFilteringNullRemovesNulls(),CLASS: butterknife.UtilsTest,butterknife.UtilsTest,CRUCIAL,,,,
47,c0e6fa3858c226443618f87e2dded9a5d2205345,REMOVED_FUNCTIONALITY,METHOD: butterknife.UtilsTest.arrayFilteringNullReturnsOriginalWhenNoNulls(),CLASS: butterknife.UtilsTest,butterknife.UtilsTest,CRUCIAL,,,,
47,c0e6fa3858c226443618f87e2dded9a5d2205345,STATEMENT_DELETE,"METHOD_INVOCATION: assertThat(listFilteringNull(One"""," ""Two"""," ""Three"")).containsExactly(""One"""," ""Two"""," ""Three"");""",METHOD: butterknife.UtilsTest.listOfFiltersNull(),butterknife.UtilsTest.listOfFiltersNull(),MEDIUM
47,c0e6fa3858c226443618f87e2dded9a5d2205345,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.UtilsTest.arrayOfFiltersNull(),CLASS: butterknife.UtilsTest,butterknife.UtilsTest,LOW,,,,
47,c0e6fa3858c226443618f87e2dded9a5d2205345,REMOVED_FUNCTIONALITY,METHOD: butterknife.UtilsTest.arrayFilteringNullRemovesNulls(),CLASS: butterknife.UtilsTest,butterknife.UtilsTest,CRUCIAL,,,,
47,c0e6fa3858c226443618f87e2dded9a5d2205345,REMOVED_FUNCTIONALITY,METHOD: butterknife.UtilsTest.arrayFilteringNullReturnsOriginalWhenNoNulls(),CLASS: butterknife.UtilsTest,butterknife.UtilsTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,ADDING_CLASS_DERIVABILITY,MODIFIER: final,MODIFIERS: ,com.example.butterknife.functional.OnItemLongClickTest,LOW,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemLongClickTest.defaultReturnValue(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,LOW,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemLongClickTest.itemLongClick(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,LOW,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.optionalIdAbsent(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.simple(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.multipleIds(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.argumentCast(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.visibilities(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.optionalIdPresent(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.returnVoid(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.Visibilities,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.MultipleIds,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.OptionalId,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.Simple,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.ArgumentCast,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.TestSpinner,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.ReturnVoid,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,ADDING_CLASS_DERIVABILITY,MODIFIER: final,MODIFIERS: ,com.example.butterknife.functional.OnItemLongClickTest,LOW,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemLongClickTest.defaultReturnValue(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,LOW,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemLongClickTest.itemLongClick(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,LOW,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.optionalIdAbsent(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.simple(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.multipleIds(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.argumentCast(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.visibilities(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.optionalIdPresent(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemLongClickTest.returnVoid(),CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,CRUCIAL,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.Visibilities,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.MultipleIds,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.OptionalId,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.Simple,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.ArgumentCast,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.TestSpinner,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
52,a521951650bb22dd77782d1e3d8770c8a582fdc6,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemLongClickTest.ReturnVoid,CLASS: com.example.butterknife.functional.OnItemLongClickTest,com.example.butterknife.functional.OnItemLongClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,DOC_INSERT,JAVADOC: /** This augments {@link OnClickTest} with tests that exercise callbacks with parameters. */,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,NONE,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDING_CLASS_DERIVABILITY,MODIFIER: final,MODIFIERS: ,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
