NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
1,1254b486667a058169194f24d6851373029d59cd,"ADDITIONAL_OBJECT_STATE","FIELD: com.facebook.drawee.backends.pipeline.info.internal.ImagePerfControllerListener2.TAG : String","CLASS: com.facebook.drawee.backends.pipeline.info.internal.ImagePerfControllerListener2","com.facebook.drawee.backends.pipeline.info.internal.ImagePerfControllerListener2","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"ADDITIONAL_FUNCTIONALITY","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.getDebugOverlayEnabledSupplier()","CLASS: com.facebook.fresco.vito.provider.impl.DefaultFrescoContext","com.facebook.fresco.vito.provider.impl.DefaultFrescoContext","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"PARAMETER_INSERT","PARAMETER: config","PARAMETERS: ","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","CRUCIAL"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"PARAMETER_RENAMING","PARAMETER: frescoContext","PARAMETERS: ","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","MEDIUM"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"STATEMENT_INSERT","CONSTRUCTOR_INVOCATION: super();","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,Supplier<Boolean>)","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"STATEMENT_INSERT","IF_STATEMENT: (! ImagePipelineFactory.hasBeenInitialized())","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,Supplier<Boolean>)","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"STATEMENT_INSERT","ASSIGNMENT: mFrescoVitoConfig = config;","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,Supplier<Boolean>)","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"STATEMENT_INSERT","ASSIGNMENT: mFrescoVitoPrefetcher = context.getPrefetcher();","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,Supplier<Boolean>)","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"STATEMENT_INSERT","ASSIGNMENT: mVitoImagePipeline = new VitoImagePipelineImpl(context.getImagePipeline(), context.getImagePipelineUtils());","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,Supplier<Boolean>)","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"STATEMENT_INSERT","ASSIGNMENT: mFrescoController = new FrescoController2Impl(mFrescoVitoConfig, context.getHierarcher(), context.getLightweightBackgroundThreadExecutor(), context.getUiThreadExecutorService(), mVitoImagePipeline, null, ((debugOverlayEnabledSupplier == null) ? new NoOpDebugOverlayFactory2() : new DefaultDebugOverlayFactory2(debugOverlayEnabledSupplier)), null, new NoOpVitoImagePerfListener());","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,Supplier<Boolean>)","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"STATEMENT_INSERT","THROW_STATEMENT: new RuntimeException("Fresco must be initialized before DefaultFrescoVitoProvider can be used!");","THEN_STATEMENT: (! ImagePipelineFactory.hasBeenInitialized())","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"STATEMENT_DELETE","CONSTRUCTOR_INVOCATION: this(new DefaultFrescoVitoConfig(), frescoContext.getPrefetcher(), frescoContext.getImagePipeline(), frescoContext.getImagePipelineUtils(), frescoContext.getHierarcher(), frescoContext.getLightweightBackgroundThreadExecutor(), frescoContext.getUiThreadExecutorService(), debugOverlayEnabledSupplier);","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,Supplier<Boolean>)","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoContext,FrescoVitoConfig,Supplier<Boolean>)","MEDIUM"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"ADDITIONAL_FUNCTIONALITY","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider()","CLASS: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider","LOW"
3,4a821295f14aeceae7f916e438ae4c9d62fdf95c,"REMOVED_FUNCTIONALITY","METHOD: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider.DefaultFrescoVitoProvider(FrescoVitoConfig,FrescoVitoPrefetcher,ImagePipeline,ImagePipelineUtils,Hierarcher,Executor,Executor,Supplier<Boolean>)","CLASS: com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider","com.facebook.fresco.vito.provider.impl.DefaultFrescoVitoProvider","CRUCIAL"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"STATEMENT_DELETE","ASSIGNMENT: mOnFadeListenerShowImmediately = true;","THEN_STATEMENT: (index == mActualImageLayer)","com.facebook.drawee.drawable.FadeDrawable.showLayerImmediately(int)","MEDIUM"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"STATEMENT_DELETE","IF_STATEMENT: (index == mActualImageLayer)","METHOD: com.facebook.drawee.drawable.FadeDrawable.showLayerImmediately(int)","com.facebook.drawee.drawable.FadeDrawable.showLayerImmediately(int)","MEDIUM"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"STATEMENT_DELETE","METHOD_INVOCATION: maybeOnImageShownImmediately();","THEN_STATEMENT: done","com.facebook.drawee.drawable.FadeDrawable.draw(Canvas)","MEDIUM"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"STATEMENT_UPDATE","METHOD_INVOCATION: maybeOnFadeStarted();","SWITCH_STATEMENT: mTransitionState","com.facebook.drawee.drawable.FadeDrawable.draw(Canvas)","LOW"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"STATEMENT_UPDATE","METHOD_INVOCATION: maybeOnFadeFinished();","THEN_STATEMENT: done","com.facebook.drawee.drawable.FadeDrawable.draw(Canvas)","LOW"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"REMOVED_FUNCTIONALITY","METHOD: com.facebook.drawee.drawable.FadeDrawable.OnFadeListener.onShownImmediately()","CLASS: com.facebook.drawee.drawable.FadeDrawable.OnFadeListener","com.facebook.drawee.drawable.FadeDrawable.OnFadeListener","HIGH"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"METHOD_RENAMING","METHOD: com.facebook.drawee.drawable.FadeDrawable.maybeOnFadeFinished()","METHOD: com.facebook.drawee.drawable.FadeDrawable.maybeOnFadeFinished()","com.facebook.drawee.drawable.FadeDrawable.onFadeFinished()","MEDIUM"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"METHOD_RENAMING","METHOD: com.facebook.drawee.drawable.FadeDrawable.maybeOnFadeStarted()","METHOD: com.facebook.drawee.drawable.FadeDrawable.maybeOnFadeStarted()","com.facebook.drawee.drawable.FadeDrawable.onFadeStarted()","MEDIUM"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"REMOVED_FUNCTIONALITY","METHOD: com.facebook.drawee.drawable.FadeDrawable.maybeOnImageShownImmediately()","CLASS: com.facebook.drawee.drawable.FadeDrawable","com.facebook.drawee.drawable.FadeDrawable","HIGH"
4,cec5cb52c6141e721a8bb8393884af3f26d697c4,"REMOVED_OBJECT_STATE","FIELD: com.facebook.drawee.drawable.FadeDrawable.mOnFadeListenerShowImmediately : boolean","CLASS: com.facebook.drawee.drawable.FadeDrawable","com.facebook.drawee.drawable.FadeDrawable","HIGH"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_UPDATE","METHOD_INVOCATION: frescoDrawable.setVisibilityCallback(new VisibilityCallback() {
  public @Override void onVisibilityChange(boolean visible) {
    if ((! visible))
        {
          mController.release(frescoDrawable);
        }
    else
        {
          VitoImageRequest request = frescoDrawable.getImageRequest();
          if ((request != null))
              {
                fetchImage(frescoDrawable, request);
              }
        }
  }
  public @Override void onDraw() {
  }
});","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.createDrawable()","com.facebook.fresco.vito.view.impl.VitoViewImpl2.createDrawable()","LOW"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"COMMENT_INSERT","LINE_COMMENT: // If the view is already attached, we should tell this to controller.","THEN_STATEMENT: (Build.VERSION.SDK_INT >= Build.VERSION_CODES.KITKAT)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","NONE"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"ALTERNATIVE_PART_INSERT","ELSE_STATEMENT: target.isAttachedToWindow()","IF_STATEMENT: target.isAttachedToWindow()","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","MEDIUM"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"COMMENT_INSERT","LINE_COMMENT: // The fetch will be submitted later when / if the View is attached.","ELSE_STATEMENT: target.isAttachedToWindow()","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","NONE"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"COMMENT_DELETE","LINE_COMMENT: // The Drawable might be re-purposed before being cleaned up, so we release if necessary.","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","NONE"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_DELETE","VARIABLE_DECLARATION_STATEMENT: VitoImageRequest oldImageRequest = frescoDrawable.getImageRequest();","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","MEDIUM"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_DELETE","METHOD_INVOCATION: mController.release(frescoDrawable);","THEN_STATEMENT: ((oldImageRequest != null) && (! oldImageRequest.equals(imageRequest)))","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","MEDIUM"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_DELETE","IF_STATEMENT: ((oldImageRequest != null) && (! oldImageRequest.equals(imageRequest)))","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","MEDIUM"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"COMMENT_DELETE","LINE_COMMENT: // We always set fields required to fetch the image.","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","NONE"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"COMMENT_DELETE","LINE_COMMENT: // If the view is already attached to the window, immediately fetch the image.
      // Otherwise, the fetch will be submitter later when then View is attached.","THEN_STATEMENT: (Build.VERSION.SDK_INT >= Build.VERSION_CODES.KITKAT)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","NONE"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_PARENT_CHANGE","METHOD_INVOCATION: frescoDrawable.setImageRequest(imageRequest);","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","MEDIUM"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_PARENT_CHANGE","METHOD_INVOCATION: frescoDrawable.setCallerContext(callerContext);","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","MEDIUM"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_PARENT_CHANGE","METHOD_INVOCATION: frescoDrawable.setImageListener(imageListener);","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","MEDIUM"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_UPDATE","METHOD_INVOCATION: target.removeOnAttachStateChangeListener(mOnAttachStateChangeListenerCallback);","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","LOW"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_UPDATE","METHOD_INVOCATION: target.addOnAttachStateChangeListener(mOnAttachStateChangeListenerCallback);","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","LOW"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"COMMENT_UPDATE","LINE_COMMENT: // Before Kitkat we don't have a good way to know.
      // Normally we expect the view to be already attached, thus we always fetch the image.","ELSE_STATEMENT: (Build.VERSION.SDK_INT >= Build.VERSION_CODES.KITKAT)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","NONE"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_UPDATE","METHOD_INVOCATION: fetchImage(frescoDrawable, imageRequest);","ELSE_STATEMENT: (Build.VERSION.SDK_INT >= Build.VERSION_CODES.KITKAT)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","LOW"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_UPDATE","METHOD_INVOCATION: fetchImage(frescoDrawable, imageRequest);","THEN_STATEMENT: target.isAttachedToWindow()","com.facebook.fresco.vito.view.impl.VitoViewImpl2.show(ImageSource,ImageOptions,Object,ImageListener,View)","LOW"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"METHOD_RENAMING","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.fetchImage(FrescoDrawable2,VitoImageRequest)","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.fetchImage(FrescoDrawable2,VitoImageRequest)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.onAttach(FrescoDrawable2,VitoImageRequest)","MEDIUM"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_INSERT","IF_STATEMENT: (request != null)","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.fetchImage(FrescoDrawable2,VitoImageRequest)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.onAttach(FrescoDrawable2,VitoImageRequest)","LOW"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"STATEMENT_PARENT_CHANGE","METHOD_INVOCATION: mController.fetch(drawable, request, drawable.getCallerContext(), drawable.getImageListener().getImageListener(), null, null);","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.fetchImage(FrescoDrawable2,VitoImageRequest)","com.facebook.fresco.vito.view.impl.VitoViewImpl2.onAttach(FrescoDrawable2,VitoImageRequest)","MEDIUM"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"ADDITIONAL_FUNCTIONALITY","METHOD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.onDetach(FrescoDrawable2)","CLASS: com.facebook.fresco.vito.view.impl.VitoViewImpl2","com.facebook.fresco.vito.view.impl.VitoViewImpl2","LOW"
5,90ca8cdaee0207402becd9c2c68ab97bebae83a9,"ATTRIBUTE_RENAMING","FIELD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.mOnAttachStateChangeListenerCallback : View.OnAttachStateChangeListener","FIELD: com.facebook.fresco.vito.view.impl.VitoViewImpl2.mOnAttachStateChangeListenerCallback : View.OnAttachStateChangeListener","com.facebook.fresco.vito.view.impl.VitoViewImpl2.sOnAttachStateChangeListenerCallback : View.OnAttachStateChangeListener","MEDIUM"
6,c62a93420b03b5d47bf529f775d68d40298f8b97,"STATEMENT_UPDATE","METHOD_INVOCATION: NativeLoader.initIfUninitialized(new SystemDelegate());","CATCH_CLAUSE: ClassNotFoundException","com.facebook.drawee.backends.pipeline.Fresco.initialize(Context,ImagePipelineConfig,DraweeConfig,boolean)","LOW"
6,c62a93420b03b5d47bf529f775d68d40298f8b97,"STATEMENT_UPDATE","METHOD_INVOCATION: NativeLoader.initIfUninitialized(new SystemDelegate());","CATCH_CLAUSE: IllegalAccessException","com.facebook.drawee.backends.pipeline.Fresco.initialize(Context,ImagePipelineConfig,DraweeConfig,boolean)","LOW"
