NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
1,2b55799273247661132f999d66943c6adb6ccc35,"STATEMENT_DELETE","METHOD_INVOCATION: java8CompatibilityCheck();","METHOD: com.google.common.base.MoreObjects.ToStringHelper.ToStringHelper(String)","com.google.common.base.MoreObjects.ToStringHelper.ToStringHelper(String)","MEDIUM"
1,2b55799273247661132f999d66943c6adb6ccc35,"REMOVED_FUNCTIONALITY","METHOD: com.google.common.base.MoreObjects.ToStringHelper.java8CompatibilityCheck()","CLASS: com.google.common.base.MoreObjects.ToStringHelper","com.google.common.base.MoreObjects.ToStringHelper","HIGH"
1,2b55799273247661132f999d66943c6adb6ccc35,"REMOVED_OBJECT_STATE","FIELD: com.google.common.base.MoreObjects.ToStringHelper.performedJava8CompatibilityCheck : boolean","CLASS: com.google.common.base.MoreObjects.ToStringHelper","com.google.common.base.MoreObjects.ToStringHelper","HIGH"
1,2b55799273247661132f999d66943c6adb6ccc35,"STATEMENT_DELETE","METHOD_INVOCATION: java8CompatibilityCheck();","METHOD: com.google.common.base.MoreObjects.ToStringHelper.ToStringHelper(String)","com.google.common.base.MoreObjects.ToStringHelper.ToStringHelper(String)","MEDIUM"
1,2b55799273247661132f999d66943c6adb6ccc35,"REMOVED_FUNCTIONALITY","METHOD: com.google.common.base.MoreObjects.ToStringHelper.java8CompatibilityCheck()","CLASS: com.google.common.base.MoreObjects.ToStringHelper","com.google.common.base.MoreObjects.ToStringHelper","HIGH"
1,2b55799273247661132f999d66943c6adb6ccc35,"REMOVED_OBJECT_STATE","FIELD: com.google.common.base.MoreObjects.ToStringHelper.performedJava8CompatibilityCheck : boolean","CLASS: com.google.common.base.MoreObjects.ToStringHelper","com.google.common.base.MoreObjects.ToStringHelper","HIGH"
1,2b55799273247661132f999d66943c6adb6ccc35,"STATEMENT_DELETE","METHOD_INVOCATION: java8CompatibilityCheck();","METHOD: com.google.common.base.MoreObjects.ToStringHelper.ToStringHelper(String)","com.google.common.base.MoreObjects.ToStringHelper.ToStringHelper(String)","MEDIUM"
1,2b55799273247661132f999d66943c6adb6ccc35,"REMOVED_FUNCTIONALITY","METHOD: com.google.common.base.MoreObjects.ToStringHelper.java8CompatibilityCheck()","CLASS: com.google.common.base.MoreObjects.ToStringHelper","com.google.common.base.MoreObjects.ToStringHelper","HIGH"
1,2b55799273247661132f999d66943c6adb6ccc35,"REMOVED_OBJECT_STATE","FIELD: com.google.common.base.MoreObjects.ToStringHelper.performedJava8CompatibilityCheck : boolean","CLASS: com.google.common.base.MoreObjects.ToStringHelper","com.google.common.base.MoreObjects.ToStringHelper","HIGH"
1,2b55799273247661132f999d66943c6adb6ccc35,"STATEMENT_DELETE","METHOD_INVOCATION: java8CompatibilityCheck();","METHOD: com.google.common.base.MoreObjects.ToStringHelper.ToStringHelper(String)","com.google.common.base.MoreObjects.ToStringHelper.ToStringHelper(String)","MEDIUM"
1,2b55799273247661132f999d66943c6adb6ccc35,"REMOVED_FUNCTIONALITY","METHOD: com.google.common.base.MoreObjects.ToStringHelper.java8CompatibilityCheck()","CLASS: com.google.common.base.MoreObjects.ToStringHelper","com.google.common.base.MoreObjects.ToStringHelper","HIGH"
