NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
8,56e15f806198c18a17dc3407a013fcc1652f1b01,"STATEMENT_INSERT","RETURN_STATEMENT: ("Dalvik".equals(System.getProperty("java.vm.name")) ? new Android() : new Platform(true));","METHOD: retrofit2.Platform.findPlatform()","retrofit2.Platform.findPlatform()","LOW"
8,56e15f806198c18a17dc3407a013fcc1652f1b01,"STATEMENT_DELETE","SWITCH_CASE: "Dalvik"","SWITCH_STATEMENT: System.getProperty("java.vm.name")","retrofit2.Platform.findPlatform()","MEDIUM"
8,56e15f806198c18a17dc3407a013fcc1652f1b01,"STATEMENT_DELETE","RETURN_STATEMENT: new Android();","SWITCH_STATEMENT: System.getProperty("java.vm.name")","retrofit2.Platform.findPlatform()","MEDIUM"
8,56e15f806198c18a17dc3407a013fcc1652f1b01,"STATEMENT_DELETE","SWITCH_CASE: "RoboVM"","SWITCH_STATEMENT: System.getProperty("java.vm.name")","retrofit2.Platform.findPlatform()","MEDIUM"
8,56e15f806198c18a17dc3407a013fcc1652f1b01,"STATEMENT_DELETE","RETURN_STATEMENT: new Platform(false);","SWITCH_STATEMENT: System.getProperty("java.vm.name")","retrofit2.Platform.findPlatform()","MEDIUM"
8,56e15f806198c18a17dc3407a013fcc1652f1b01,"STATEMENT_DELETE","SWITCH_CASE: default","SWITCH_STATEMENT: System.getProperty("java.vm.name")","retrofit2.Platform.findPlatform()","MEDIUM"
8,56e15f806198c18a17dc3407a013fcc1652f1b01,"STATEMENT_DELETE","RETURN_STATEMENT: new Platform(true);","SWITCH_STATEMENT: System.getProperty("java.vm.name")","retrofit2.Platform.findPlatform()","MEDIUM"
8,56e15f806198c18a17dc3407a013fcc1652f1b01,"STATEMENT_DELETE","SWITCH_STATEMENT: System.getProperty("java.vm.name")","METHOD: retrofit2.Platform.findPlatform()","retrofit2.Platform.findPlatform()","MEDIUM"
27,c301cc8b42a7bd12c17572a716e3fc6394b95f66,"STATEMENT_INSERT","TRY_STATEMENT: ","METHOD: retrofit2.Platform.findPlatform()","retrofit2.Platform.findPlatform()","LOW"
27,c301cc8b42a7bd12c17572a716e3fc6394b95f66,"STATEMENT_INSERT","RETURN_STATEMENT: new Platform(true);","METHOD: retrofit2.Platform.findPlatform()","retrofit2.Platform.findPlatform()","LOW"
27,c301cc8b42a7bd12c17572a716e3fc6394b95f66,"STATEMENT_INSERT","METHOD_INVOCATION: Class.forName("android.os.Build");","BODY: ","retrofit2.Platform.findPlatform()","LOW"
27,c301cc8b42a7bd12c17572a716e3fc6394b95f66,"STATEMENT_INSERT","IF_STATEMENT: (Build.VERSION.SDK_INT != 0)","BODY: ","retrofit2.Platform.findPlatform()","LOW"
27,c301cc8b42a7bd12c17572a716e3fc6394b95f66,"STATEMENT_INSERT","CATCH_CLAUSE: ClassNotFoundException","CATCH_CLAUSES: ","retrofit2.Platform.findPlatform()","LOW"
27,c301cc8b42a7bd12c17572a716e3fc6394b95f66,"STATEMENT_INSERT","RETURN_STATEMENT: new Android();","THEN_STATEMENT: (Build.VERSION.SDK_INT != 0)","retrofit2.Platform.findPlatform()","LOW"
27,c301cc8b42a7bd12c17572a716e3fc6394b95f66,"STATEMENT_DELETE","RETURN_STATEMENT: ("Dalvik".equals(System.getProperty("java.vm.name")) ? new Android() : new Platform(true));","METHOD: retrofit2.Platform.findPlatform()","retrofit2.Platform.findPlatform()","MEDIUM"
35,63cf3e66c4b661170a34a396e9be8a2a01c0e57f,"ADDITIONAL_FUNCTIONALITY","METHOD: retrofit2.CompletableFutureAndroidTest.completableFuturePreApi24()","CLASS: retrofit2.CompletableFutureAndroidTest","retrofit2.CompletableFutureAndroidTest","LOW"
35,63cf3e66c4b661170a34a396e9be8a2a01c0e57f,"STATEMENT_INSERT","METHOD_INVOCATION: assertThat(optional).isNotNull();","METHOD: retrofit2.OptionalConverterFactoryAndroidTest.optionalApi24()","retrofit2.OptionalConverterFactoryAndroidTest.optionalApi24()","LOW"
35,63cf3e66c4b661170a34a396e9be8a2a01c0e57f,"ADDITIONAL_FUNCTIONALITY","METHOD: retrofit2.OptionalConverterFactoryAndroidTest.optionalPreApi24()","CLASS: retrofit2.OptionalConverterFactoryAndroidTest","retrofit2.OptionalConverterFactoryAndroidTest","LOW"
