NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
1,44267115986e7fdcb2a9629fd7986f65ab9a2670,"CONDITION_EXPRESSION_CHANGE","IF_STATEMENT: (((4 * dimensionTop) < (6 * dimensionRight)) && ((4 * dimensionRight) < (6 * dimensionTop)))","METHOD: com.google.zxing.datamatrix.detector.Detector.detect()","com.google.zxing.datamatrix.detector.Detector.detect()","MEDIUM"
1,44267115986e7fdcb2a9629fd7986f65ab9a2670,"CONDITION_EXPRESSION_CHANGE","IF_STATEMENT: (((4 * dimensionTop) < (6 * dimensionRight)) && ((4 * dimensionRight) < (6 * dimensionTop)))","METHOD: com.google.zxing.datamatrix.detector.Detector.detect()","com.google.zxing.datamatrix.detector.Detector.detect()","MEDIUM"
1,44267115986e7fdcb2a9629fd7986f65ab9a2670,"CONDITION_EXPRESSION_CHANGE","IF_STATEMENT: (((4 * dimensionTop) < (6 * dimensionRight)) && ((4 * dimensionRight) < (6 * dimensionTop)))","METHOD: com.google.zxing.datamatrix.detector.Detector.detect()","com.google.zxing.datamatrix.detector.Detector.detect()","MEDIUM"
1,44267115986e7fdcb2a9629fd7986f65ab9a2670,"CONDITION_EXPRESSION_CHANGE","IF_STATEMENT: (((4 * dimensionTop) < (6 * dimensionRight)) && ((4 * dimensionRight) < (6 * dimensionTop)))","METHOD: com.google.zxing.datamatrix.detector.Detector.detect()","com.google.zxing.datamatrix.detector.Detector.detect()","MEDIUM"
2,395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee,"STATEMENT_UPDATE","RETURN_STATEMENT: new Version[]{new Version(1, 10, 10, 8, 8, new ECBlocks(5, new ECB(1, 3))), new Version(2, 12, 12, 10, 10, new ECBlocks(7, new ECB(1, 5))), new Version(3, 14, 14, 12, 12, new ECBlocks(10, new ECB(1, 8))), new Version(4, 16, 16, 14, 14, new ECBlocks(12, new ECB(1, 12))), new Version(5, 18, 18, 16, 16, new ECBlocks(14, new ECB(1, 18))), new Version(6, 20, 20, 18, 18, new ECBlocks(18, new ECB(1, 22))), new Version(7, 22, 22, 20, 20, new ECBlocks(20, new ECB(1, 30))), new Version(8, 24, 24, 22, 22, new ECBlocks(24, new ECB(1, 36))), new Version(9, 26, 26, 24, 24, new ECBlocks(28, new ECB(1, 44))), new Version(10, 32, 32, 14, 14, new ECBlocks(36, new ECB(1, 62))), new Version(11, 36, 36, 16, 16, new ECBlocks(42, new ECB(1, 86))), new Version(12, 40, 40, 18, 18, new ECBlocks(48, new ECB(1, 114))), new Version(13, 44, 44, 20, 20, new ECBlocks(56, new ECB(1, 144))), new Version(14, 48, 48, 22, 22, new ECBlocks(68, new ECB(1, 174))), new Version(15, 52, 52, 24, 24, new ECBlocks(42, new ECB(2, 102))), new Version(16, 64, 64, 14, 14, new ECBlocks(56, new ECB(2, 140))), new Version(17, 72, 72, 16, 16, new ECBlocks(36, new ECB(4, 92))), new Version(18, 80, 80, 18, 18, new ECBlocks(48, new ECB(4, 114))), new Version(19, 88, 88, 20, 20, new ECBlocks(56, new ECB(4, 144))), new Version(20, 96, 96, 22, 22, new ECBlocks(68, new ECB(4, 174)))
  , new Version(21, 104, 104, 24, 24, new ECBlocks(56, new ECB(6, 136))), new Version(22, 120, 120, 18, 18, new ECBlocks(68, new ECB(6, 175))), new Version(23, 132, 132, 20, 20, new ECBlocks(62, new ECB(8, 163))), new Version(24, 144, 144, 22, 22, new ECBlocks(62, new ECB(8, 156), new ECB(2, 155))), new Version(25, 8, 18, 6, 16, new ECBlocks(7, new ECB(1, 5))), new Version(26, 8, 32, 6, 14, new ECBlocks(11, new ECB(1, 10))), new Version(27, 12, 26, 10, 24, new ECBlocks(14, new ECB(1, 16))), new Version(28, 12, 36, 10, 16, new ECBlocks(18, new ECB(1, 22))), new Version(29, 16, 36, 14, 16, new ECBlocks(24, new ECB(1, 32))), new Version(30, 16, 48, 14, 22, new ECBlocks(28, new ECB(1, 49))), new Version(31, 8, 48, 6, 22, new ECBlocks(15, new ECB(1, 18))), new Version(32, 8, 64, 6, 14, new ECBlocks(18, new ECB(1, 24))), new Version(33, 12, 48, 10, 22, new ECBlocks(23, new ECB(1, 32))), new Version(34, 12, 64, 10, 14, new ECBlocks(27, new ECB(1, 43))), new Version(35, 16, 64, 14, 14, new ECBlocks(36, new ECB(1, 62))), new Version(36, 24, 32, 22, 14, new ECBlocks(28, new ECB(1, 49))), new Version(37, 24, 36, 22, 16, new ECBlocks(33, new ECB(1, 55))), new Version(38, 24, 48, 22, 22, new ECBlocks(41, new ECB(1, 80))), new Version(39, 24, 64, 22, 14, new ECBlocks(46, new ECB(1, 108))), new Version(40, 26, 32, 24, 14, new ECBlocks(32, new ECB(1, 52)))
  , new Version(41, 26, 40, 24, 18, new ECBlocks(38, new ECB(1, 70))), new Version(42, 26, 48, 24, 22, new ECBlocks(42, new ECB(1, 90))), new Version(43, 26, 64, 24, 14, new ECBlocks(50, new ECB(1, 118)))};","METHOD: com.google.zxing.datamatrix.decoder.Version.buildVersions()","com.google.zxing.datamatrix.decoder.Version.buildVersions()","LOW"
2,395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee,"STATEMENT_DELETE","IF_STATEMENT: (offset < bits.length)","METHOD: com.google.zxing.common.BitMatrix.unset(int,int)","com.google.zxing.common.BitMatrix.unset(int,int)","MEDIUM"
2,395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee,"STATEMENT_PARENT_CHANGE","ASSIGNMENT: bits[offset] &= (~ (1 << (x & 0x1f)));","THEN_STATEMENT: (offset < bits.length)","com.google.zxing.common.BitMatrix.unset(int,int)","MEDIUM"
2,395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee,"STATEMENT_DELETE","IF_STATEMENT: (offset < bits.length)","METHOD: com.google.zxing.common.BitMatrix.set(int,int)","com.google.zxing.common.BitMatrix.set(int,int)","MEDIUM"
2,395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee,"STATEMENT_PARENT_CHANGE","ASSIGNMENT: bits[offset] |= (1 << (x & 0x1f));","THEN_STATEMENT: (offset < bits.length)","com.google.zxing.common.BitMatrix.set(int,int)","MEDIUM"
2,395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee,"STATEMENT_DELETE","IF_STATEMENT: (offset < bits.length)","METHOD: com.google.zxing.common.BitMatrix.flip(int,int)","com.google.zxing.common.BitMatrix.flip(int,int)","MEDIUM"
2,395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee,"STATEMENT_PARENT_CHANGE","ASSIGNMENT: bits[offset] ^= (1 << (x & 0x1f));","THEN_STATEMENT: (offset < bits.length)","com.google.zxing.common.BitMatrix.flip(int,int)","MEDIUM"
2,395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee,"STATEMENT_UPDATE","RETURN_STATEMENT: ((offset < bits.length) && (((bits[offset] >>> (x & 0x1f)) & 1) != 0));","METHOD: com.google.zxing.common.BitMatrix.get(int,int)","com.google.zxing.common.BitMatrix.get(int,int)","LOW"
