NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST DATA,CHANGES LINK
1,12/11/2020-11/01/2021,Nov 16 2020,3fc2d100bb2081c3da1996508e1f1200cea21d2f,    enable Github Action for Unit test (#6726),[ERROR] Tests run: 98, Failures: 0, Errors: 14, Skipped: 0,https://github.com/apache/dubbo/commit/3fc2d100bb2081c3da1996508e1f1200cea21d2f
2,10/09/2020-12/11/2020,Nov 12 2020,a2a14dcb4e7913dcc37b5a71a69980e1b1a5e106,    add short/byte data type support for PojoUtils#getDefaultValue (#6551),[ERROR] Tests run: 98, Failures: 0, Errors: 14, Skipped: 0,https://github.com/apache/dubbo/commit/a2a14dcb4e7913dcc37b5a71a69980e1b1a5e106
2,10/09/2020-12/11/2020,Nov 9 2020,4a265a52b103bf834e9268601c20ef2b11351645,    update dubbo-provider.xml for demo (#6857),[ERROR] Tests run: 98, Failures: 0, Errors: 14, Skipped: 0,https://github.com/apache/dubbo/commit/4a265a52b103bf834e9268601c20ef2b11351645
2,10/09/2020-12/11/2020,Nov 6 2020,4b0dc355798608ae6790a535ad7963b95eff8581,    update field name for Wrapper.java (#6870),[ERROR] Tests run: 98, Failures: 0, Errors: 14, Skipped: 0,https://github.com/apache/dubbo/commit/4b0dc355798608ae6790a535ad7963b95eff8581
2,10/09/2020-12/11/2020,Oct 15 2020,4a8da59573cb0f1d793809439abb2f2162f2d80f,    Proofread README.md file with multiple fixes (#6807),[ERROR] Tests run: 98, Failures: 0, Errors: 14, Skipped: 0,https://github.com/apache/dubbo/commit/4a8da59573cb0f1d793809439abb2f2162f2d80f
2,10/09/2020-12/11/2020,Oct 15 2020,7039c98b6cb5a0b69edc4e9e82679131da1a8643,    Optimize the close and connect operations of AbstractClient (#3435),[ERROR] Tests run: 98, Failures: 0, Errors: 14, Skipped: 0,https://github.com/apache/dubbo/commit/7039c98b6cb5a0b69edc4e9e82679131da1a8643
2,10/09/2020-12/11/2020,Oct 13 2020,f9f10ba5225e80c34953f56123ac1702c13e45c7,    In order to facilitate the consumer to better locate the failure of provider token check, the token value called by consumer will be printed out in the exception information (#6800),[ERROR] Tests run: 98, Failures: 0, Errors: 14, Skipped: 0,https://github.com/apache/dubbo/commit/f9f10ba5225e80c34953f56123ac1702c13e45c7
2,10/09/2020-12/11/2020,Oct 10 2020,099fc5d823419548db135f1a5274ae53bf58a0d9,    fix https://github.com/apache/dubbo/issues/6708 alive add (#6786),[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0,https://github.com/apache/dubbo/commit/099fc5d823419548db135f1a5274ae53bf58a0d9
2,10/09/2020-12/11/2020,Oct 5 2020,93d6a08adb8f0660d2f373ca393259da90d32a0a,    remove notified item when unsubscribe(#6790),[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0,https://github.com/apache/dubbo/commit/93d6a08adb8f0660d2f373ca393259da90d32a0a
2,10/09/2020-12/11/2020,Oct 5 2020,eed216b14e8c8e980e98a78ce495806a32df2b97,    fix #6728, potential NPE in generic filter  (#6785),[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0,https://github.com/apache/dubbo/commit/eed216b14e8c8e980e98a78ce495806a32df2b97
2,10/09/2020-12/11/2020,Sep 30 2020,0a14ffc8fe298e26a9b5cb5385d7d7996eeb5ccb,    fix https://github.com/apache/dubbo/issues/6741 lur to lru (#6784),[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0,https://github.com/apache/dubbo/commit/0a14ffc8fe298e26a9b5cb5385d7d7996eeb5ccb
2,10/09/2020-12/11/2020,Sep 30 2020,2d9583adf26a2d8bd6fb646243a9fe80a77e65d5,    update that how to judge the same weight (#6479),[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0,https://github.com/apache/dubbo/commit/2d9583adf26a2d8bd6fb646243a9fe80a77e65d5
2,10/09/2020-12/11/2020,Sep 28 2020,cd20009336a94963e89d0ec9a713dee68c844699,    fix-#6778. modify the method description, unhealthy -> enable (#6779),[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0,https://github.com/apache/dubbo/commit/cd20009336a94963e89d0ec9a713dee68c844699
2,10/09/2020-12/11/2020,Sep 24 2020,24f23d57abce251504af9955e8fa86db5aafe28a,    [Feature] Enhancing the REST metadata of Dubbo Service (#6777),[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0,https://github.com/apache/dubbo/commit/24f23d57abce251504af9955e8fa86db5aafe28a
2,10/09/2020-12/11/2020,Sep 22 2020,a6b8dfcdbdb71deab35a000a2c4cd5c0bc1fe13b,    [Feature] Generic Type injection (#6761),[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0,https://github.com/apache/dubbo/commit/a6b8dfcdbdb71deab35a000a2c4cd5c0bc1fe13b
2,10/09/2020-12/11/2020,Sep 14 2020,a5685180f619dcb409d49787ef813ac22339dee2,    Add license (#6732),[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0,https://github.com/apache/dubbo/commit/a5685180f619dcb409d49787ef813ac22339dee2
