NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK,TEST PATH
2,16/01/2021-30/01/2021,Jan 30 2021,2ccdac06f95f68752abdede79770f5a8904e7e12,    [Compose] Upgrade to Alpha 11 (#1732),completed: 266 skipped: 4 failures: 0 errors: 0,https://github.com/airbnb/lottie-android/commit/2ccdac06f95f68752abdede79770f5a8904e7e12,lottie/src/test/java/com/airbnb/lottie
3,27/12/2020-16/01/2021,Jan 16 2021,5989f6777d481a8c833578bb399f2c149e7c65b0,    Fail quietly if ImageAssetManager fails to decode a bitmap (#1729),completed: 266 skipped: 4 failures: 0 errors: 0,https://github.com/airbnb/lottie-android/commit/5989f6777d481a8c833578bb399f2c149e7c65b0,lottie/src/test/java/com/airbnb/lottie
27,24/10/2020-25/10/2020,Oct 25 2020,d0f006fd28044792216e609035322c86d2d8cb7d,    Added the ability to outline masks and mattes (#1658),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/d0f006fd28044792216e609035322c86d2d8cb7d,lottie/src/test/java/com/airbnb/lottie
27,24/10/2020-25/10/2020,Oct 24 2020,19cf3f0bc18a03be40106512fae053afd561beda,    Cache compositions loaded by url in memory (#1657),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/19cf3f0bc18a03be40106512fae053afd561beda,lottie/src/test/java/com/airbnb/lottie
28,19/10/2020-24/10/2020,Oct 24 2020,8a10f96181f892a19c4e56867124741e561b0536,    Docs and LottieConfig cleanup (#1656),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/8a10f96181f892a19c4e56867124741e561b0536,lottie/src/test/java/com/airbnb/lottie
28,19/10/2020-24/10/2020,Oct 24 2020,b27f6d32cc10580c95019df82a9b606b1c5e49f0,    Initial implementation of Lottie Compose (#1652),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/b27f6d32cc10580c95019df82a9b606b1c5e49f0,lottie/src/test/java/com/airbnb/lottie
29,3/10/2020-19/10/2020,Oct 19 2020,81b4e7873bd00312775a34c0ab9a2a3d2a641ae8,    Added LottieConfig with NetworkFetcher and NetworkCache customization  (#1629),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/81b4e7873bd00312775a34c0ab9a2a3d2a641ae8,lottie/src/test/java/com/airbnb/lottie
30,2/10/2020-3/10/2020,Oct 3 2020,ae030bb5aa76b35901411c00ac384081e1d88510,    v3.4.5-SNAPSHOT,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/ae030bb5aa76b35901411c00ac384081e1d88510,lottie/src/test/java/com/airbnb/lottie
31,1/10/2020-2/10/2020,Oct 2 2020,6e189af80d3034d48bd5a1cf32ab52de0117da17,    Clear hashed gradient objects when a new value callback is set. (#1639),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/6e189af80d3034d48bd5a1cf32ab52de0117da17,lottie/src/test/java/com/airbnb/lottie
31,1/10/2020-2/10/2020,Oct 1 2020,edb4c2297ed4b1e2b22f4a3269617d2b7a0ff363,    v3.4.3,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/edb4c2297ed4b1e2b22f4a3269617d2b7a0ff363,lottie/src/test/java/com/airbnb/lottie
31,1/10/2020-2/10/2020,Oct 1 2020,f5517cd29b8ee5b3c60a7e27d97f4e8ee5088027,    Fix scaling and tracking for dynamic text (#1635),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/f5517cd29b8ee5b3c60a7e27d97f4e8ee5088027,lottie/src/test/java/com/airbnb/lottie
32,12/09/2020-1/10/2020,Oct 1 2020,516f87cd52f5de5c0f616b46e9a622f0e1fb78f8,    v3.4.4-SNAPSHOT,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/516f87cd52f5de5c0f616b46e9a622f0e1fb78f8,lottie/src/test/java/com/airbnb/lottie
