NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,13/11/2017-09/02/2021,Feb 11 2020,1d995077d0b620a6aae9c60a8b96443113752305,    README.md: add recommendation to use subscriber index,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/1d995077d0b620a6aae9c60a8b96443113752305
1,13/11/2017-09/02/2021,Feb 10 2020,6f4b8c707b1b64eb029f72fe183a742c24b20ad8,    https,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/6f4b8c707b1b64eb029f72fe183a742c24b20ad8
1,13/11/2017-09/02/2021,Feb 10 2020,ddaace5e2aa70fc2ea0128b2f46f81d8e70d5a56,    3.2.0,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/ddaace5e2aa70fc2ea0128b2f46f81d8e70d5a56
1,13/11/2017-09/02/2021,Feb 4 2020,34a1537af7364cec9444a24431c566d434d4d0b8,    Class.getMethods() failures: provide better info and use EventBusException instead of LinkageError,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/34a1537af7364cec9444a24431c566d434d4d0b8
1,13/11/2017-09/02/2021,Feb 4 2020,bb5b149b556a6f295c3bad597a66edf83c2e73eb,    Provide additional info if Class.getMethods() fails,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/bb5b149b556a6f295c3bad597a66edf83c2e73eb 
1,13/11/2017-09/02/2021,Feb 4 2020,62abc54dec3bf3e1f8d2badc4752f61ff05e8eb3,    Skip also androidx.* super classes,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/62abc54dec3bf3e1f8d2badc4752f61ff05e8eb3
1,13/11/2017-09/02/2021,Feb 4 2020,0d551f1a493710b92791b82bd915238310c6ed4e,    add Logger.Default and use it to make ExceptionToResourceMapping independent from Android,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/0d551f1a493710b92791b82bd915238310c6ed4e
1,13/11/2017-09/02/2021,Feb 3 2020,9b1aeddcd3bab713b094d00e8043a2399bb97000,    3.1.2-RC: minor version updates  etc.,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/9b1aeddcd3bab713b094d00e8043a2399bb97000
1,13/11/2017-09/02/2021,Jan 28 2020,cd8090d77a98925549463727c0d0da1ce1385096,    Merge pull request #617 from greenrobot/528-incremental-processor,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/cd8090d77a98925549463727c0d0da1ce1385096
1,13/11/2017-09/02/2021,Nov 19 2019,f644d281233d57d4e83d9a57b5030f519027aeeb,    Mark annotation processor as aggregating.,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/f644d281233d57d4e83d9a57b5030f519027aeeb
1,13/11/2017-09/02/2021,Jan 28 2020,313316b5609ea222b5dbbc91d5098e01d7db3200,    Merge pull request #622 from greenrobot/update-publishing,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/313316b5609ea222b5dbbc91d5098e01d7db3200
1,13/11/2017-09/02/2021,Jan 21 2020,9fed85f8243067dd66dda3f99038c0fcb82c52e0,    README: link to examples.,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/9fed85f8243067dd66dda3f99038c0fcb82c52e0
1,13/11/2017-09/02/2021,Jan 21 2020,2836c11108eb383a185167457a74e31a1f206eb5,    Merge pull request #629 from greenrobot/readme-updates,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/2836c11108eb383a185167457a74e31a1f206eb5
1,13/11/2017-09/02/2021,Jan 21 2020,0e0dc21bf3e6c8ba2d96b5cf2fb5c25406981c15,    README: update links (TLS).,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/0e0dc21bf3e6c8ba2d96b5cf2fb5c25406981c15
1,13/11/2017-09/02/2021,Jan 21 2020,5778314e0168c6fb2983c03dceadf4064b94278e,    README: drop broken Central JAR link.,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/5778314e0168c6fb2983c03dceadf4064b94278e
1,13/11/2017-09/02/2021,Jan 21 2020,2a9310ef7319238b106302ea70ccc2a208aff2c7,    README: add R8 rules.,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/2a9310ef7319238b106302ea70ccc2a208aff2c7
1,13/11/2017-09/02/2021,Dec 9 2019,6c95dbcd4304218a6ff3eb4bcb4e7e27f32ab492,    Change provided->compileOnly and compile->implementation.,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/6c95dbcd4304218a6ff3eb4bcb4e7e27f32ab492
1,13/11/2017-09/02/2021,Dec 9 2019,32992a66059b5953eb6c2d45d788e36576f58d17,    Extract common publishing setup to publish.gradle.,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/32992a66059b5953eb6c2d45d788e36576f58d17
1,13/11/2017-09/02/2021,Nov 19 2019,626277bac31308ea1b371e57dd4d3fe05079d418,    Merge pull request #618 from greenrobot/updates,completed: 124 skipped: 0 failures: 0 errors: 0,https://github.com/greenrobot/EventBus/commit/626277bac31308ea1b371e57dd4d3fe05079d418
