NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,27/04/2018-10/02/2021,Nov 19 2018,3cb21589895e9f8f87cfcdbc9d96d9f63d48b848,    Merge pull request #1904 from Netflix/qiangdavidliu-update-hystrix-status,completed: 896 skipped: 5 failures: 1 errors: 0,https://github.com/Netflix/Hystrix/commit/3cb21589895e9f8f87cfcdbc9d96d9f63d48b848
3,9/04/2018-25/04/2018,Apr 25 2018,93dfbcb6178ce01aa438aae36599e5214e8bc89f,    Only check for thread isolation if the command had a chance to start executing,completed: 895 skipped: 5 failures: 1 errors: 0,https://github.com/Netflix/Hystrix/commit/93dfbcb6178ce01aa438aae36599e5214e8bc89f
5,10/01/2018-4/04/2018,Apr 4 2018,1fd939b83caa7823d78476369955177313155c59,    Reduced number of concurrent connections because there is a limit depending on the number of available cores times 2 in Grizzly's NetworkListener,completed: 895 skipped: 5 failures: 1 errors: 0,https://github.com/Netflix/Hystrix/commit/1fd939b83caa7823d78476369955177313155c59
9,9/05/2017-16/05/2017,May 16 2017,dbc7429dbf7b82b4f27610f0bfc2e187106179ad,    Add v1.5.12 to CHANGELOG,completed: 891 skipped: 5 failures: 0 errors: 0,https://github.com/Netflix/Hystrix/commit/dbc7429dbf7b82b4f27610f0bfc2e187106179ad
10,8/05/2017-9/05/2017,May 9 2017,f956ebada681f062c36c04c6b655e6dcc3273429,    Fix to permyriad calculation,completed: 889 skipped: 5 failures: 1 errors: 0,https://github.com/Netflix/Hystrix/commit/f956ebada681f062c36c04c6b655e6dcc3273429
11,7/05/2017-8/05/2017,May 8 2017,df5b5b36ba2a80fb6e67616a3609193428536a62,    1565: Set maximumSize using @HystrixCommand annotation,completed: 879 skipped: 5 failures: 0 errors: 0,https://github.com/Netflix/Hystrix/commit/df5b5b36ba2a80fb6e67616a3609193428536a62
12,19/03/2017-7/05/2017,May 7 2017,c9241ac1a432a3c4eaef3d83a76bf2ccf73c9342,    Made circuit-opening happen in background as health counts stream produces new values,completed: 879 skipped: 5 failures: 1 errors: 0,https://github.com/Netflix/Hystrix/commit/c9241ac1a432a3c4eaef3d83a76bf2ccf73c9342
13,20/12/2016-19/03/2017,Mar 1 2017,de12cf27ef66e8b94caefd5fd24d1fe301728d5c,    Merge pull request #1482 from dmgcodevil/iss1446,completed: 877 skipped: 5 failures: 0 errors: 0,https://github.com/Netflix/Hystrix/commit/de12cf27ef66e8b94caefd5fd24d1fe301728d5c
14,19/12/2016-20/12/2016,Dec 20 2016,3c6b1b03c535bf6b8b2d574d0eb62193cea617a6,    Merge pull request #1449 from mattrjacobs/single-method-which-ensures-core-less-than-equal-to-maximum,completed: 871 skipped: 5 failures: 1 errors: 0,https://github.com/Netflix/Hystrix/commit/3c6b1b03c535bf6b8b2d574d0eb62193cea617a6
20,19/10/2016-20/10/2016,Oct 20 2016,8b5a07575432480dd0b40488202d6c7ba5c33714,    Merge pull request #1399 from mattrjacobs/add-property-to-control-maximum-thread-pool-size,completed: 850 skipped: 3 failures: 0 errors: 0,https://github.com/Netflix/Hystrix/commit/8b5a07575432480dd0b40488202d6c7ba5c33714
