NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,1/02/2021-10/02/2021,Feb 5 2021,4e86963d9710d4f8fcbba0451e250237f4db15f8,    Update gradle_release.yml,completed: 13031 skipped: 746 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/4e86963d9710d4f8fcbba0451e250237f4db15f8
1,1/02/2021-10/02/2021,Feb 5 2021,27cd0f7e86ffde69689fd857abb6258322f37869,    Update build.gradle,completed: 13031 skipped: 746 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/27cd0f7e86ffde69689fd857abb6258322f37869
1,1/02/2021-10/02/2021,Feb 5 2021,5fb0ace5f6af6b20cb7f7fcb83c502002b438d10,    3.x: Release to Sonatype directly (#7181),completed: 13031 skipped: 746 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/5fb0ace5f6af6b20cb7f7fcb83c502002b438d10
1,1/02/2021-10/02/2021,Feb 3 2021,0cb8978c1d21363eac53299272295567efb13a55,    Fix the typos (#7178),completed: 13031 skipped: 746 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/0cb8978c1d21363eac53299272295567efb13a55
1,1/02/2021-10/02/2021,Feb 2 2021,d7805f867589addbfbbad497806934c6fe347266,    3.x: Allow reruns of release actions by enabling bintray.override (#7176),completed: 13031 skipped: 746 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/d7805f867589addbfbbad497806934c6fe347266
2,28/01/2021-1/02/2021,Jan 29 2021,8dd6f21fbe7fde96b62e29d7b035fa4e7f55e52e,    Bump build-info-extractor-gradle from 4.19.0 to 4.20.0 (#7171),completed: 13013 skipped: 746 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/8dd6f21fbe7fde96b62e29d7b035fa4e7f55e52e
4,25/01/2021-27/01/2021,Jan 26 2021,80a4842a7603da2d1c96fc2bb16249605cde5bbd,    Updating documentation for scheduleActual method (#7164),completed: 12973 skipped: 746 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/80a4842a7603da2d1c96fc2bb16249605cde5bbd
5,19/01/2021-25/01/2021,Jan 25 2021,e46ce76b95653006a709f230a71768a731c7d830,    Bump build-info-extractor-gradle from 4.18.3 to 4.19.0 (#7159),completed: 12971 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/e46ce76b95653006a709f230a71768a731c7d830
5,19/01/2021-25/01/2021,Jan 19 2021,af297c444dd54af6b335275dac2149bc514acc8e,    3.x: Schedulers.from vs. RejectedExecutionException (#7150),completed: 12971 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/af297c444dd54af6b335275dac2149bc514acc8e
6,10/12/2020-19/01/2021,Jan 18 2021,e3a0302161155090b637a13d9bbce1fc6dd638fe,    Bump mockito-core from 3.7.0 to 3.7.7 (#7152),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/e3a0302161155090b637a13d9bbce1fc6dd638fe
6,10/12/2020-19/01/2021,Jan 8 2021,54850d0d344434022070fb034cdb7bda59b17b2b,    3.x: Fix take() mentioning the old limit() operator (#7145),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/54850d0d344434022070fb034cdb7bda59b17b2b
6,10/12/2020-19/01/2021,Jan 8 2021,a55f43e9f3d82091cb0266179afead151361b00d,    3.x: Update marbles of amb() ambArray() and ambWith() (#7144),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/a55f43e9f3d82091cb0266179afead151361b00d
6,10/12/2020-19/01/2021,Jan 5 2021,b75c1858b7c223a06b20c090ae86bf4976867e90,    Bump mockito-core from 3.6.28 to 3.7.0 (#7141),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/b75c1858b7c223a06b20c090ae86bf4976867e90
6,10/12/2020-19/01/2021,Dec 30 2020,ad50bcda192a2e73ad1fc3532ac27362d50dc898,    Bump build-info-extractor-gradle from 4.18.2 to 4.18.3 (#7140),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/ad50bcda192a2e73ad1fc3532ac27362d50dc898
6,10/12/2020-19/01/2021,Dec 15 2020,0811a65aabbf40ef2bc2392c38193507a0eb9801,    Bump guava from 30.0-jre to 30.1-jre (#7134),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/0811a65aabbf40ef2bc2392c38193507a0eb9801
6,10/12/2020-19/01/2021,Dec 14 2020,17ba82c4ab9f9d4cc66f8dfd90b6930d1ac9aaeb,    adding 1.x 2.x 3.x javadoc to wiki sidebar (#7133),completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/17ba82c4ab9f9d4cc66f8dfd90b6930d1ac9aaeb
6,10/12/2020-19/01/2021,Dec 10 2020,dde2c0e7b0435b4195d02699ef4c8f8d666480e2,    Fix code style,completed: 12969 skipped: 745 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/dde2c0e7b0435b4195d02699ef4c8f8d666480e2
10,20/11/2020-6/12/2020,Dec 2 2020,67c1a367397f1167f9ad5639dd5071b6608e4230,    Trigger on prereleases too,completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/67c1a367397f1167f9ad5639dd5071b6608e4230
10,20/11/2020-6/12/2020,Dec 2 2020,20fc2ba5a0c793796bca7416fdcc90da629a5b10,    Limit to released event types,completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/20fc2ba5a0c793796bca7416fdcc90da629a5b10
10,20/11/2020-6/12/2020,Dec 1 2020,a315c55663f6c80c420ccce2cec11298abff5651,    Bump build-info-extractor-gradle from 4.18.1 to 4.18.2 (#7123),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/a315c55663f6c80c420ccce2cec11298abff5651
10,20/11/2020-6/12/2020,Nov 25 2020,3d5feceb3b103062eaea2a4e22d64dbd926f5769,    Bump mockito-core from 3.6.0 to 3.6.28 (#7116),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/3d5feceb3b103062eaea2a4e22d64dbd926f5769
10,20/11/2020-6/12/2020,Nov 20 2020,3d1669da006bd494f7fce7f3b3d6274fa5ba6921,    3.x: Update badge in README.md (#7115),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/3d1669da006bd494f7fce7f3b3d6274fa5ba6921
10,20/11/2020-6/12/2020,Nov 20 2020,e4ad465fa663f0d80a9017d9149f8e6093e818a0,    Fix push_javadoc.sh,completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/e4ad465fa663f0d80a9017d9149f8e6093e818a0
10,20/11/2020-6/12/2020,Nov 20 2020,c816e6f5f4dfd18743ee6ff1ad7e42c9beb2cf01,    3.x Switch from Travis CI to GitHub Actions (#7114),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/c816e6f5f4dfd18743ee6ff1ad7e42c9beb2cf01
11,5/10/2020-20/11/2020,Nov 20 2020,5b408f6a09a2f72761005b72f2c06c70eef32fbb,    3.x: Fix source locator code to support GitHub Actions folder layout (#7113),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/5b408f6a09a2f72761005b72f2c06c70eef32fbb
11,5/10/2020-20/11/2020,Nov 12 2020,78b29f7967cd7589c3e53a4a8a73ad2aadb30eff,    3.x: Flowable scan/scanWith backpressure documentation update (#7110),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/78b29f7967cd7589c3e53a4a8a73ad2aadb30eff
11,5/10/2020-20/11/2020,Nov 5 2020,57fd72ee683eb1baaed1196bc8feac07850f7146,    Bump gradle-animalsniffer-plugin from 1.5.1 to 1.5.2 (#7106),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/57fd72ee683eb1baaed1196bc8feac07850f7146
11,5/10/2020-20/11/2020,Oct 30 2020,ca3a21ae2e79ead471def5dd4c4211ff4fbe1298,    Switch to travis-ci.com as the org goes away (#7104),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/ca3a21ae2e79ead471def5dd4c4211ff4fbe1298
11,5/10/2020-20/11/2020,Oct 27 2020,10aedf056ab4be2363b56855ac198bf2be3f83d1,    Bump build-info-extractor-gradle from 4.17.2 to 4.18.0 (#7102),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/10aedf056ab4be2363b56855ac198bf2be3f83d1
11,5/10/2020-20/11/2020,Oct 27 2020,d0aa30d5f7a070c5a499ac89028d53f14e9adb74,    Bump mockito-core from 3.5.15 to 3.6.0 (#7103),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/d0aa30d5f7a070c5a499ac89028d53f14e9adb74
11,5/10/2020-20/11/2020,Oct 20 2020,d4ab2532d5914ccbb075fd540c7640578ab54044,    Bump mockito-core from 3.5.13 to 3.5.15 (#7099),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/d4ab2532d5914ccbb075fd540c7640578ab54044
11,5/10/2020-20/11/2020,Oct 19 2020,8511da4e0130d67a7b2ae369349868004e153262,    Bump guava from 29.0-jre to 30.0-jre (#7098),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/8511da4e0130d67a7b2ae369349868004e153262
11,5/10/2020-20/11/2020,Oct 16 2020,7106980947ce9b2e8d1a17b6081d474f39d0f1c2,    Bump biz.aQute.bnd.gradle from 5.1.2 to 5.2.0 (#7097),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/7106980947ce9b2e8d1a17b6081d474f39d0f1c2
11,5/10/2020-20/11/2020,Oct 12 2020,4394f5016fcd7b37049ea727dca91755054d090a,    Bump junit from 4.13 to 4.13.1 (#7094),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/4394f5016fcd7b37049ea727dca91755054d090a
11,5/10/2020-20/11/2020,Oct 6 2020,fb45ce83c4e08d46b754d5a86efcc5ae38f84e4c,    Fix minor typos of @{code,completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/fb45ce83c4e08d46b754d5a86efcc5ae38f84e4c
11,5/10/2020-20/11/2020,Oct 6 2020,82a218a5e0bb7f8788e4e6b0b54e4de9cd28e9ea,    Clarify the documentation for scan operators (#7093),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/82a218a5e0bb7f8788e4e6b0b54e4de9cd28e9ea
11,5/10/2020-20/11/2020,Oct 5 2020,35702ec5e64e8adc2ce6f9828f9af8f5fde42bbc,    Bump jmh-gradle-plugin from 0.5.1 to 0.5.2 (#7082),completed: 12934 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/35702ec5e64e8adc2ce6f9828f9af8f5fde42bbc
12,23/09/2020-5/10/2020,Sep 25 2020,88697a4fa769aa4a81ba5ed14b3be6dad93441ed,    Bump mockito-core from 3.5.11 to 3.5.13 (#7086),completed: 12930 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/88697a4fa769aa4a81ba5ed14b3be6dad93441ed
13,6/08/2020-23/09/2020,Sep 21 2020,fe71f6a22847429163704e076e8447c674ee7571,    s/error/fail/ (#7080),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/fe71f6a22847429163704e076e8447c674ee7571
13,6/08/2020-23/09/2020,Sep 18 2020,6b48855b1fdcefeca9ed9e0c112140c23bd42f6e,    Bump mockito-core from 3.5.10 to 3.5.11 (#7077),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/6b48855b1fdcefeca9ed9e0c112140c23bd42f6e
13,6/08/2020-23/09/2020,Sep 12 2020,ffe2fccfd696a64e3d085ab70cd2992e9e6046df,    3.x: Patch out duplicate @NonNull annotation in generated javadocs (#7073),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/ffe2fccfd696a64e3d085ab70cd2992e9e6046df
13,6/08/2020-23/09/2020,Sep 12 2020,0f21ba82666e65a54e980638cfb8a0ffe3dfe506,    3.x: fromRunnable/fromAction javadoc improvements (#7071),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/0f21ba82666e65a54e980638cfb8a0ffe3dfe506
13,6/08/2020-23/09/2020,Sep 12 2020,7693126377ac78618dfc8aa232670a692edd37f4,    Bump mockito-core from 3.5.9 to 3.5.10 (#7070),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/7693126377ac78618dfc8aa232670a692edd37f4
13,6/08/2020-23/09/2020,Sep 2 2020,1ff3cd62091db049b39a2eda0443240e75d6c321,    Bump mockito-core from 3.5.7 to 3.5.9 (#7069),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/1ff3cd62091db049b39a2eda0443240e75d6c321
13,6/08/2020-23/09/2020,Aug 28 2020,c15b5a535d146aa2bfe684226f52fc42eb5559f5,    Bump build-info-extractor-gradle from 4.17.1 to 4.17.2 (#7067),completed: 12929 skipped: 743 failures: 0 errors: 0,https://github.com/ReactiveX/RxJava/commit/c15b5a535d146aa2bfe684226f52fc42eb5559f5
