NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,15/01/2021-11/02/2021,Feb 10 2021,1254b486667a058169194f24d6851373029d59cd,    Clean up fresco/drawee-backends/drawee-pipeline/src/main/java/com/facebook/drawee/backends/pipeline/info/internal/ImagePerfControllerListener2.java,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/1254b486667a058169194f24d6851373029d59cd
1,15/01/2021-11/02/2021,Feb 10 2021,3542a9d0f0c24e540cb26195d387868b9ece7836,    Clean up fbandroid/libraries/fresco/imagepipeline-base/src/main/java/com/facebook/cache/disk/DefaultDiskStorage.java,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/3542a9d0f0c24e540cb26195d387868b9ece7836
1,15/01/2021-11/02/2021,Feb 9 2021,4a821295f14aeceae7f916e438ae4c9d62fdf95c,    Clean up DefaultFrescoContext references in DefaultFrescoVitoProvider,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/4a821295f14aeceae7f916e438ae4c9d62fdf95c
1,15/01/2021-11/02/2021,Feb 5 2021,cec5cb52c6141e721a8bb8393884af3f26d697c4,    On fade listener: add on shown callback,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/cec5cb52c6141e721a8bb8393884af3f26d697c4
1,15/01/2021-11/02/2021,Feb 2 2021,90ca8cdaee0207402becd9c2c68ab97bebae83a9,    fix showcase sample app proguard,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/90ca8cdaee0207402becd9c2c68ab97bebae83a9
1,15/01/2021-11/02/2021,Feb 1 2021,c62a93420b03b5d47bf529f775d68d40298f8b97,    Update SoLoader to v0.10.0 (#2581),completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/c62a93420b03b5d47bf529f775d68d40298f8b97
1,15/01/2021-11/02/2021,Jan 31 2021,528f6919c80a9a4fb03dc584c4aeea8951c008ce,    dequeue requests recursively,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/528f6919c80a9a4fb03dc584c4aeea8951c008ce
1,15/01/2021-11/02/2021,Jan 31 2021,288bad49151ef306daa7671a451f900b4ad340c0,    delay requeue instrumentation,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/288bad49151ef306daa7671a451f900b4ad340c0
1,15/01/2021-11/02/2021,Jan 31 2021,e877c9e58d9980b15715ffb4d478068003d4f771,    delay requeuing requests,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/e877c9e58d9980b15715ffb4d478068003d4f771
1,15/01/2021-11/02/2021,Jan 31 2021,1c3c939e532e9f24e712d596f15f611a426fa8b4,    add max number of requeue attempts,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/1c3c939e532e9f24e712d596f15f611a426fa8b4
1,15/01/2021-11/02/2021,Jan 27 2021,6b16a8390580333948718b33d5b3ff8c2e24e242,    Update getColorFromTable to take unsigned int as parameter,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/6b16a8390580333948718b33d5b3ff8c2e24e242
1,15/01/2021-11/02/2021,Jan 27 2021,595f6ab26c3d71e56d50b8fb30afe57fb6344127,    simplify overflow check on readSingleFrame,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/595f6ab26c3d71e56d50b8fb30afe57fb6344127
1,15/01/2021-11/02/2021,Jan 27 2021,775d17cc727540ae5a21cbfae603b41cfabefabd,    extract overflow checks to BytesDataWrapper::rangeAdd,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/775d17cc727540ae5a21cbfae603b41cfabefabd
1,15/01/2021-11/02/2021,Jan 27 2021,2e8bdda83644f3e3ba13d1a69f8fc1d045d73452,    add overflow check on BytesDataWrapper::read,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/2e8bdda83644f3e3ba13d1a69f8fc1d045d73452
1,15/01/2021-11/02/2021,Jan 22 2021,6fb7eb63668360a5f56f8a0c82024dfe4b2da548,    Fresco Vito slideshow: make isPlaying prop optional,completed: 710 skipped: 14 failures: 0 errors: 0,https://github.com/facebook/fresco/commit/6fb7eb63668360a5f56f8a0c82024dfe4b2da548
