NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK,
1,11/01/2021-09/02/2021,Feb 1 2021,d521baa031f6034b74588a1e263c464f0d90d82b,    Merge pull request #4493 from sjudd:bump_version_to_4.13.0-SNAPSHOT,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/d521baa031f6034b74588a1e263c464f0d90d82b,
1,11/01/2021-09/02/2021,Feb 1 2021,b0dc133d729fde0bc676e9e080c277b4a0bb3dce,    Bump version to 4.13.0-SNAPSHOT,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/b0dc133d729fde0bc676e9e080c277b4a0bb3dce,
1,11/01/2021-09/02/2021,Jan 29 2021,384617791a97f3d2f3052e0b63bd4d971da92f7d,    Merge pull request #4486 from sjudd:bump_version_to_4.12.0,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/384617791a97f3d2f3052e0b63bd4d971da92f7d,
1,11/01/2021-09/02/2021,Jan 29 2021,743cb00c7b0a9bfef640df17e732b0d50d5db136,    Bump version to 4.12.0,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/743cb00c7b0a9bfef640df17e732b0d50d5db136,
1,11/01/2021-09/02/2021,Jan 13 2021,5acc99f8fc7e772aeef8aa959ff2a9c203ab1aa6,    Minimize stat() syscall on Glide init.,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/5acc99f8fc7e772aeef8aa959ff2a9c203ab1aa6,
2,8/01/2021-11/01/2021,Jan 11 2021,8f770797ef3cd99f6a7eae99f7441f1cba266127,    s/RuntimeEnvironment.application/ApplicationProvider.getApplicationContext()/g,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/8f770797ef3cd99f6a7eae99f7441f1cba266127,
3,7/01/2021-8/01/2021,Jan 8 2021,e2a467ddb71d76e9da84933a6bce65b30f86c494,    s/RuntimeEnvironment.application/ApplicationProvider.getApplicationContext()/g,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/e2a467ddb71d76e9da84933a6bce65b30f86c494,
4,6/01/2021-7/01/2021,Jan 7 2021,8f31fe15bbf14248fba2de1ab5e9c4d09a4436f7,    s/RuntimeEnvironment.application/ApplicationProvider.getApplicationContext()/g,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/8f31fe15bbf14248fba2de1ab5e9c4d09a4436f7,
5,1/12/2020-6/01/2021,Jan 6 2021,59ec98c505c17b3efa882522c3312022d1ca88da,    Make Exception wrapper throw instead of returning -1/0,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/59ec98c505c17b3efa882522c3312022d1ca88da,
5,1/12/2020-6/01/2021,Dec 28 2020,2b61482baa90175e0efdf4ec90f06a5051e1b370,    Reset mark position after skipping past the mark limit. Any later reset will throw instead of leaving the stream in a bad/undefined state.,completed: 1709 skipped: 0 failures: 0 errors: 0,https://github.com/bumptech/glide/commit/2b61482baa90175e0efdf4ec90f06a5051e1b370,
