NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,15/12/2020-01/02/2021,Jan 29 2021,c9f4b9fcb4ae756af0be113a6c307f6702cde404,    Add a link to `ImmutableSortedMultiset` to `collect/package-info.java`.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/c9f4b9fcb4ae756af0be113a6c307f6702cde404
1,15/12/2020-01/02/2021,Jan 19 2021,d3c306e9e4220d80f111348a92f5cb56d8ad965c,    Fix assertion for `FilesTest.testCopyIdenticalFiles()`.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/d3c306e9e4220d80f111348a92f5cb56d8ad965c
1,15/12/2020-01/02/2021,Jan 5 2021,b27cf09c1cdb17158654c33720cd43b5a02837be,    Fix a comment to reflect that the ImmutableSortedMap copyOf method uses the natural ordering of the keys, rather than a provided comparator.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/b27cf09c1cdb17158654c33720cd43b5a02837be
1,15/12/2020-01/02/2021,Dec 30 2020,580937cdde0b7bc2d9836ae80ec09fda519f2d77,    Internal change,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/580937cdde0b7bc2d9836ae80ec09fda519f2d77
1,15/12/2020-01/02/2021,Dec 23 2020,0a2e767e5e2557ffe5989aa46255c2a167496727,    Optimize CRC32C.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/0a2e767e5e2557ffe5989aa46255c2a167496727
1,15/12/2020-01/02/2021,Dec 17 2020,99a4d3afe044f7bd55f2394ee61756bd6c0adc13,    Bump deps.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/99a4d3afe044f7bd55f2394ee61756bd6c0adc13
1,15/12/2020-01/02/2021,Dec 16 2020,c8d05367c2862ac74781a62061b4fd55e98ffda9,    Internal change,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/c8d05367c2862ac74781a62061b4fd55e98ffda9
2,8/10/2020-15/12/2020,Dec 15 2020,2b55799273247661132f999d66943c6adb6ccc35,    Internal change,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/2b55799273247661132f999d66943c6adb6ccc35
2,8/10/2020-15/12/2020,Dec 14 2020,ef0ce9216a991ea40774ef82f4fd3ea255c48597,    Prepare for release 30.1.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/ef0ce9216a991ea40774ef82f4fd3ea255c48597
2,8/10/2020-15/12/2020,Dec 10 2020,ca3cc12cd07cc4519f92dae12ac8d47b54d919d9,    Correct a typo and some odd phrasing in the first paragraph of the javadoc for SmoothRateLimiter.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/ca3cc12cd07cc4519f92dae12ac8d47b54d919d9
2,8/10/2020-15/12/2020,Dec 4 2020,7e01b017e1dff7c0005748d7139c8d96a5d69206,    First step in cleaning up PSL handling. Next stage will be to change the template to store the trie string as a separate static constant, so that I can write a unit test that verifies that.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/7e01b017e1dff7c0005748d7139c8d96a5d69206
2,8/10/2020-15/12/2020,Dec 3 2020,d3b27b84245b3a1f81b15f186a9223831254d4cb,    System.getProperties().getProperty => System.getProperty.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/d3b27b84245b3a1f81b15f186a9223831254d4cb
2,8/10/2020-15/12/2020,Dec 2 2020,38abf0777224de8fd0ac98b1488bef4195141d12,    Explain when StandardSystemProperty.value() can return a null value, and deprecate JAVA_EXT_DIRS.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/38abf0777224de8fd0ac98b1488bef4195141d12
2,8/10/2020-15/12/2020,Nov 26 2020,1a020b7e447bddc48b677d702611f58f7c9033cc,    PUBLIC: Add missing Override annotations.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/1a020b7e447bddc48b677d702611f58f7c9033cc
2,8/10/2020-15/12/2020,Nov 24 2020,f3a194a87eadfb6ac6c44f67e9d875259760f7c7,    Make toImmutableSortedMap levarage collect collectors,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/f3a194a87eadfb6ac6c44f67e9d875259760f7c7
2,8/10/2020-15/12/2020,Nov 14 2020,c8eb42172046e53264dd4a31ab9a245d2ecf5369,    Update Public Suffix data.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/c8eb42172046e53264dd4a31ab9a245d2ecf5369
2,8/10/2020-15/12/2020,Nov 13 2020,8cddfe92af159a5cad1dcd96ddaf816e9e186365,    Add TableCollectors to AndroidAccessToCollectors,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/8cddfe92af159a5cad1dcd96ddaf816e9e186365
2,8/10/2020-15/12/2020,Nov 13 2020,70dfcd22a60cd2f3cf7975fc5d99ae15ea060b5b,    Backport combine to Immutable[List|Set]Multimap,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/70dfcd22a60cd2f3cf7975fc5d99ae15ea060b5b
2,8/10/2020-15/12/2020,Nov 12 2020,597b86c45e53c60b20ddba85c0f8c5fc8e278d19,    Backport ImmutableTable.combine,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/597b86c45e53c60b20ddba85c0f8c5fc8e278d19
2,8/10/2020-15/12/2020,Nov 12 2020,1e2977182836b04eb5306f542892a0856ba606e1,    Replaces cycle_finder references to "--whitelist" with "--suppress-list", and "--blacklist" with "--restrict-to".,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/1e2977182836b04eb5306f542892a0856ba606e1
2,8/10/2020-15/12/2020,Dec 3 2020,67517b5a5b7627eee39a47917197998b9f974751,    Automated rollback of 67517b5a5b7627eee39a47917197998b9f974751.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/67517b5a5b7627eee39a47917197998b9f974751
2,8/10/2020-15/12/2020,Nov 10 2020,ef0261f95bd3aa33551b9a817cd5db9ccca01501,    Backport combine to java7 for `ImmutableRangeSet`/`ImmutableRangeSet`.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/ef0261f95bd3aa33551b9a817cd5db9ccca01501
2,8/10/2020-15/12/2020,Nov 9 2020,93582811a2596b33e24294ab0869ddaafdf66b74,    Fix Android test failure in ClassPathTest.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/93582811a2596b33e24294ab0869ddaafdf66b74
2,8/10/2020-15/12/2020,Nov 9 2020,c5e2d8d5cb30b1cd73fa0e86af161e140d772e03,    Added submitAsync to ClosingFuture.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/c5e2d8d5cb30b1cd73fa0e86af161e140d772e03
2,8/10/2020-15/12/2020,Nov 9 2020,d30212b68b8b6c15cabb2432578a29f293813599,    Backport `combine` to java7 for `ImmutableList` & `ImmutableSet`.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/d30212b68b8b6c15cabb2432578a29f293813599
2,8/10/2020-15/12/2020,Nov 5 2020,5c28b153325cd7a32b03354f1f8ee8d0faa8c2d3,    Do 16-byte strides in CRC32C in c.g.c.hash, resulting in roughly a 3.3x speedup to 1.5 GB/s.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/5c28b153325cd7a32b03354f1f8ee8d0faa8c2d3
2,8/10/2020-15/12/2020,Nov 3 2020,6672ceee4f77b4218ff514b2dff11e40da83789b,    Add additional test for `Crc32cHashFunction`.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/6672ceee4f77b4218ff514b2dff11e40da83789b
2,8/10/2020-15/12/2020,Nov 3 2020,a48fb4f72490f99a5f62586b2d7468661dca35d1,    Add constant for Origin Isolation header,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/a48fb4f72490f99a5f62586b2d7468661dca35d1
2,8/10/2020-15/12/2020,Oct 28 2020,007047bc8f9319feaed95a7d9993404a17e6ba09,    Fix documentation for HashCode.toString() that incorrectly claimed it returned in big-endian order.,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/007047bc8f9319feaed95a7d9993404a17e6ba09
2,8/10/2020-15/12/2020,Oct 26 2020,7ef9f97cad23efee4cc18c63b5f3c90ca320f131,    Fix minor documentation typos, thanks to @Stephan202 and @jbduncan,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/7ef9f97cad23efee4cc18c63b5f3c90ca320f131
2,8/10/2020-15/12/2020,Oct 16 2020,33f2b153a14e981e9bb1bc3dbc916c66dac00837,    Update IteratorTester example with a greater "steps" value,completed: 853415 skipped: 0 failures: 40 errors: 0,https://github.com/google/guava/commit/33f2b153a14e981e9bb1bc3dbc916c66dac00837
