NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,2/02/2021-13/02/2021,Feb 12 2021,e6588c430795632ddf40a308f4366b2a5bc618fa,    fix(gui): correct font save with '-' in name (#1116),completed: 621 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/e6588c430795632ddf40a308f4366b2a5bc618fa
1,2/02/2021-13/02/2021,Feb 6 2021,712389ab240f776c997c2075209591d0058417ac,    build: add windows artifact, use nightly.link for download unstable build (#1113),completed: 621 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/712389ab240f776c997c2075209591d0058417ac
1,2/02/2021-13/02/2021,Feb 5 2021,5f1be384901582047ce1dd22719c9c84ac433107,    build: upload unstable binaries as build artifact (#1113),completed: 621 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/5f1be384901582047ce1dd22719c9c84ac433107
1,2/02/2021-13/02/2021,Feb 4 2021,7982592c6ed1a25b50f485d97c44ecac2dab24df,    build: remove Travis and Bintray, disable codecov and sonarqube (#1113),completed: 621 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/7982592c6ed1a25b50f485d97c44ecac2dab24df
2,1/02/2021-2/02/2021,Feb 1 2021,913b00a4d400f847d209928e3c5640b5206201de,    build: setup simple test build using Github Actions,completed: 618 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/913b00a4d400f847d209928e3c5640b5206201de
4,26/01/2021-30/01/2021,Jan 29 2021,c93e7fb9cdfaae8a8f03618df1ba846a974a528c,    fix: detect loaded class duplication (#1107),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/c93e7fb9cdfaae8a8f03618df1ba846a974a528c
4,26/01/2021-30/01/2021,Jan 28 2021,343788896436dd648abc9e6e65b3da24b876e12f,    fix(gui): use common keyboard shortcuts for navigation (#1085) (PR #1106),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/343788896436dd648abc9e6e65b3da24b876e12f
4,26/01/2021-30/01/2021,Jan 27 2021,b314e0bdda625d294a68229079c3ab88f5a297af,    fix(gui): improve color schemes (#1101) (PR #1105),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/b314e0bdda625d294a68229079c3ab88f5a297af
4,26/01/2021-30/01/2021,Jan 28 2021,2bdde6a528ccb5dcc50e81dc6ac3342f96055eaa,    fix(gui): fix variable usage & caret position after rename (#1099) (PR #1103),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/2bdde6a528ccb5dcc50e81dc6ac3342f96055eaa
4,26/01/2021-30/01/2021,Jan 27 2021,c61cb80a8b0ea1bd7160e0bc69c6af83c28306fe,    feat(gui): rename local variables (#1023) (#1084) (PR #1098),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/c61cb80a8b0ea1bd7160e0bc69c6af83c28306fe
5,14/01/2021-26/01/2021,Jan 26 2021,4217aab93322b0c76f7db9618bbb44041ef6c084,    fix: new gradle export (#1095) (PR #1097),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/4217aab93322b0c76f7db9618bbb44041ef6c084
5,14/01/2021-26/01/2021,Jan 25 2021,ffb2956d90444d90c25ba8091505e87a5259be77,    fix(gui): fix caret positions of search/usage/goto decl, add search to popup menu (#1093) (PR #1094),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/ffb2956d90444d90c25ba8091505e87a5259be77
5,14/01/2021-26/01/2021,Jan 24 2021,9744547fab72f0e8970a98208c649b439136d307,    fix(gui): correct line numbers with enabled line wrap (#1092),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/9744547fab72f0e8970a98208c649b439136d307
5,14/01/2021-26/01/2021,Jan 24 2021,b580d1cf5b8345cdea8b0ef95ea7c5d7dc7133c2,    fix(gui): update korean translation (PR #1091),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/b580d1cf5b8345cdea8b0ef95ea7c5d7dc7133c2
5,14/01/2021-26/01/2021,Jan 23 2021,855c7b608ea0d3a3409c844ee54fc2eca0c9e662,    feat(gui): add shortcuts to TabbedPanel and enhance JumpPosition (#1085) (PR #1090),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/855c7b608ea0d3a3409c844ee54fc2eca0c9e662
5,14/01/2021-26/01/2021,Jan 19 2021,707ed9a8284223963c29cbf7ba956ff73d306930,    fix(gui): codearea popup menu always disabled in macos (#1052) (PR #1086),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/707ed9a8284223963c29cbf7ba956ff73d306930
5,14/01/2021-26/01/2021,Jan 15 2021,a3ea514521ff174b96666b344814c64ed64bfe76,    fix: elemSize=0 fill_array_data_payload insn obfuscation (PR #1082),completed: 611 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/a3ea514521ff174b96666b344814c64ed64bfe76
6,2/01/2021-14/01/2021,Jan 8 2021,778106c41b5935f5317532ad14553e64efcb68e7,    chore: update gradle and java dependencies,completed: 608 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/778106c41b5935f5317532ad14553e64efcb68e7
6,2/01/2021-14/01/2021,Jan 4 2021,c47e9cdde4291d9f9ad661d7e288f2ac99d9226a,    fix: allow to load Spring Boot jar (#1066),completed: 608 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/c47e9cdde4291d9f9ad661d7e288f2ac99d9226a
