NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,9/12/2020-11/02/2021,Jan 19 2021,44267115986e7fdcb2a9629fd7986f65ab9a2670,    Update dimension ratio change to new location (updates DMRE PR #323) (#1350),completed: 333 skipped: 0 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/44267115986e7fdcb2a9629fd7986f65ab9a2670
1,9/12/2020-11/02/2021,Jan 15 2021,395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee,    Initial support for DMRE,completed: 333 skipped: 0 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/395dc6b83f4793a73d2fe69c42a7c9ee6b1273ee
1,9/12/2020-11/02/2021,Jan 15 2021,3374aed3fd913f31cda1a7fa4b93c56f4efd76c1,    Tweak DoS limits and logging; update dependencies,completed: 333 skipped: 0 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/3374aed3fd913f31cda1a7fa4b93c56f4efd76c1
1,9/12/2020-11/02/2021,Dec 30 2020,6dd0776b961f8471c8cd9df7b49d6652c4629175,    Prevent MaxiCode sampler from sampling off the edge of the image.,completed: 333 skipped: 0 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/6dd0776b961f8471c8cd9df7b49d6652c4629175
3,9/11/2020-8/12/2020,Nov 19 2020,820d0910734a3fd36e2f93c5d0915f5dfa807213,    Update strings.xml (#1336),completed: 331 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/820d0910734a3fd36e2f93c5d0915f5dfa807213
3,9/11/2020-8/12/2020,Nov 18 2020,5e689afc47f09e8594bafda9a23e4501056428a3,    Create codeql-analysis.yml,completed: 331 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/5e689afc47f09e8594bafda9a23e4501056428a3
5,27/10/2020-7/11/2020,Nov 7 2020,28d339e67d87b4c47cd91437cea8791792262b23,    Fix snapshot version in android components,completed: 329 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/28d339e67d87b4c47cd91437cea8791792262b23
6,6/09/2020-27/10/2020,Oct 12 2020,b1c85db64e0ef13e7d8a4c9de32bd94c76eea5d8,    Bump junit from 4.13 to 4.13.1 (#1322),completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/b1c85db64e0ef13e7d8a4c9de32bd94c76eea5d8
6,6/09/2020-27/10/2020,Oct 1 2020,d3922dff996496325286d0847d9f0f1b19dd0e17,    Set theme jekyll-theme-midnight,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/d3922dff996496325286d0847d9f0f1b19dd0e17
6,6/09/2020-27/10/2020,Sep 29 2020,09b0bdd3f555c1d3981dcf7d4b5f305ca22bdb8a,    Update site for 3.4.1,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/09b0bdd3f555c1d3981dcf7d4b5f305ca22bdb8a
6,6/09/2020-27/10/2020,Sep 29 2020,32158ee504b1f20c4120d1e8a27bf87baebf6dbf,    [maven-release-plugin] prepare for next development iteration,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/32158ee504b1f20c4120d1e8a27bf87baebf6dbf
6,6/09/2020-27/10/2020,Sep 29 2020,272d9561b547c82670918790c34b490da1aec3b0,    [maven-release-plugin] prepare release zxing-3.4.1,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/272d9561b547c82670918790c34b490da1aec3b0
6,6/09/2020-27/10/2020,Sep 29 2020,cff1a2129128b9e215a3b9860445eb507bd590da,    [maven-release-plugin] rollback the release of zxing-3.4.1,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/cff1a2129128b9e215a3b9860445eb507bd590da
6,6/09/2020-27/10/2020,Sep 29 2020,c30aa535e7e2b93246e7e446077421ece2171a8d,    [maven-release-plugin] prepare release zxing-3.4.1,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/c30aa535e7e2b93246e7e446077421ece2171a8d
6,6/09/2020-27/10/2020,Sep 29 2020,41cbab0bac7a00a2604ab00f711dd798984a580e,    Fix release plugin settings,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/41cbab0bac7a00a2604ab00f711dd798984a580e
6,6/09/2020-27/10/2020,Sep 29 2020,06e3cd49671eb6214b2d989a30404b98187d3f64,    [maven-release-plugin] rollback the release of zxing-3.4.1,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/06e3cd49671eb6214b2d989a30404b98187d3f64
6,6/09/2020-27/10/2020,Sep 29 2020,09f1a7eea272328e04ed7985e73ad19d6bcb9b85,    [maven-release-plugin] prepare for next development iteration,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/09f1a7eea272328e04ed7985e73ad19d6bcb9b85
6,6/09/2020-27/10/2020,Sep 29 2020,3eafc5d44767a0b1175a7249bef16192c7d71f66,    [maven-release-plugin] prepare release zxing-3.4.1,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/3eafc5d44767a0b1175a7249bef16192c7d71f66
6,6/09/2020-27/10/2020,Sep 29 2020,3d8068009f01b5e246898fccbf03a15e8f93e72c,    Update CHANGES for 3.4.1; misc plugin updates,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/3d8068009f01b5e246898fccbf03a15e8f93e72c
6,6/09/2020-27/10/2020,Sep 14 2020,6fe3a775a0759bdb8d0a4c5138594e46098c263a,    Make MultiFinderPatternFinder a public class (#1313),completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/6fe3a775a0759bdb8d0a4c5138594e46098c263a
7,5/06/2020-6/09/2020,Sep 6 2020,40c2e2e9afa66148d0d70e978715f04106ead600,    Many small updates from code analysis; remove unused files; tune server params (#1311),completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/40c2e2e9afa66148d0d70e978715f04106ead600
7,5/06/2020-6/09/2020,Jul 22 2020,85e37821a5b79114ac1ea41499f3447ca048e5a0,    Fix missing import,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/85e37821a5b79114ac1ea41499f3447ca048e5a0
7,5/06/2020-6/09/2020,Jun 20 2020,1903b13064dcb1d5c6b2dc29dd5508bc54c72144,    Not working ; disable ARM,completed: 326 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/1903b13064dcb1d5c6b2dc29dd5508bc54c72144
7,5/06/2020-6/09/2020,Jun 20 2020,549e0d17c904c2ee899ab82e5c3340497ab80641,    RAT -> warning,completed: 326 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/549e0d17c904c2ee899ab82e5c3340497ab80641
7,5/06/2020-6/09/2020,Jun 20 2020,b3c9107cfa44b909a0f5ff1c3feb7a0191eaa824,    Try ARM + OpenJDK11,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/b3c9107cfa44b909a0f5ff1c3feb7a0191eaa824
7,5/06/2020-6/09/2020,Jun 20 2020,0797e6ad7114960e69cefc8292b231dce2e1761f,    Add ARM testing,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/0797e6ad7114960e69cefc8292b231dce2e1761f
7,5/06/2020-6/09/2020,Jun 6 2020,64ff80128d4142793b6be79cb4929d666fe49c80,    Try reenabling javadoc on travis (#1294),completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/64ff80128d4142793b6be79cb4929d666fe49c80
8,11/12/2019-5/06/2020,Jun 5 2020,9aa4db5c1f612a1460de3af9891b7d236ba2d3ac,    Misc code simplification and edits,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/9aa4db5c1f612a1460de3af9891b7d236ba2d3ac
8,11/12/2019-5/06/2020,Jun 3 2020,c89470b2b03cd953b71e5417a27b7ae16ea54e5b,    Issue #862 : avoid invalid codeword from bad EC number estimate,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/c89470b2b03cd953b71e5417a27b7ae16ea54e5b
8,11/12/2019-5/06/2020,May 29 2020,9068f64eb533b869baaf8c9a61c9378f91a509d3,    add a Python wrapper to ZXing library (#1290),completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/9068f64eb533b869baaf8c9a61c9378f91a509d3
8,11/12/2019-5/06/2020,May 13 2020,3c96923276dd5785d58eb970b6ba3f80d36a9505,    Minor dep updates,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/3c96923276dd5785d58eb970b6ba3f80d36a9505
8,11/12/2019-5/06/2020,May 13 2020,f8df5f0ca2b45b95594d5646acbd661f501e17d0,    Avoid tiny Array.sort; a bottleneck,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/f8df5f0ca2b45b95594d5646acbd661f501e17d0
8,11/12/2019-5/06/2020,May 13 2020,05abe0f7aa381c12817b8923e502cb3c7710c413,    Minor HTML standards improvement per Chrome,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/05abe0f7aa381c12817b8923e502cb3c7710c413
8,11/12/2019-5/06/2020,May 13 2020,78ccf2323fc3ed7c01d18487e3206cc01bd4c906,    Dynamic request capping system for web app plus minor optimization,completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/78ccf2323fc3ed7c01d18487e3206cc01bd4c906
8,11/12/2019-5/06/2020,May 7 2020,639f51d3406855e77591a1ca1327cf3c42d71e44,    License and copyrights (#1281),completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/639f51d3406855e77591a1ca1327cf3c42d71e44
8,11/12/2019-5/06/2020,Apr 13 2020,54d0a37832b51e15b257f7363bc1bf9725b07445,    Minor Travis updates, including JDK 14 (#1276),completed: 327 skipped: 1 failures: 0 errors: 0,https://github.com/zxing/zxing/commit/54d0a37832b51e15b257f7363bc1bf9725b07445
